token_id	speaker	iu_type	iu_id	tu_id	span	form	type	modality	features	align
0-0	SPK0026	Falling	0	0	Ойбай	Ойбай	linguistic	_	_	Begin=0.06
0-1	SPK0026	Falling	0	0	ей:.	ей	linguistic	_	Prolongation=1	End=1.325
1-0	SPK0026	Falling	1	0	Қаншық-ау	Қаншық-ау	linguistic	_	_	Begin=1.43
1-1	SPK0026	Falling	1	0	деп	деп	linguistic	_	_	_
1-2	SPK0026	Falling	1	0	сөйтті.	сөйтті	linguistic	_	_	End=2.675
2-0	SPK0023	undefined	2	_	@@@@	@@@@	linguistic	_	_	Begin=2.65|End=3.829
3-0	SPK0025	undefined	3	_	@@@@	@@@@	linguistic	_	_	Begin=2.69|End=3.956
4-0	SPK0023	undefined	4	_	@@@	@@@	linguistic	_	_	Begin=4.05|End=5.384
5-0	SPK0026	Falling	5	1	Тәтем.	Тәтем	linguistic	_	_	Begin=4.14|End=4.706
6-0	SPK0026	Falling	6	2	¬Жекесенді	Жекесенді	linguistic	_	Anonymized=Yes	Begin=4.75
6-1	SPK0026	Falling	6	2	жақсы	жақсы	linguistic	_	_	_
6-2	SPK0026	Falling	6	2	көреді	көреді	linguistic	_	_	_
6-3	SPK0026	Falling	6	2	емес	емес	linguistic	_	_	_
6-4	SPK0026	Falling	6	2	пе.	пе	linguistic	_	_	End=6.45
7-0	SPK0023	Falling	7	3	Мхм.	Мхм	linguistic	_	_	Begin=5.929|End=6.839
8-0	SPK0026	Continuing	8	4	Ойбу	Ойбу	linguistic	_	_	Begin=6.45
8-1	SPK0026	Continuing	8	4	қаншық,	қаншық	linguistic	_	_	End=8.059
9-0	SPK0026	Falling	9	4	қой.	қой	linguistic	_	_	Begin=8.059|End=8.41
10-0	SPK0026	Falling	10	4	Үйтпе.	Үйтпе	linguistic	_	_	Begin=8.41|End=9.193
11-0	SPK0026	Falling	11	_	###.	###	unknown	_	_	Begin=9.259|End=11.05
12-0	SPK0024	Continuing	12	5	¬Жексен	Жексен	linguistic	_	Anonymized=Yes	Begin=9.48
12-1	SPK0024	Continuing	12	5	сенің	сенің	linguistic	_	_	_
12-2	SPK0024	Continuing	12	5	қаның	қаның	linguistic	_	_	_
12-3	SPK0024	Continuing	12	5	емес	емес	linguistic	_	_	_
12-4	SPK0024	Continuing	12	5	пе	пе	linguistic	_	_	_
12-5	SPK0024	Continuing	12	5	ей,	ей	linguistic	_	_	End=10.65
13-0	SPK0024	Falling	13	5	қаншық	қаншық	linguistic	_	_	Begin=10.65
13-1	SPK0024	Falling	13	5	деп	деп	linguistic	_	_	_
13-2	SPK0024	Falling	13	5	қояды	қояды	linguistic	_	_	_
13-3	SPK0024	Falling	13	5	мынаған.	мынаған	linguistic	_	_	End=11.449
14-0	SPK0026	Continuing	14	6	Иә,	Иә	linguistic	_	_	Begin=11.414|End=11.985
15-0	SPK0024	undefined	15	5	@@	@@	linguistic	_	_	Begin=11.449|End=11.971
16-0	SPK0023	Rising	16	7	А?	А	linguistic	_	_	Begin=11.51|End=11.888
17-0	SPK0023	undefined	17	_	@	@	linguistic	_	_	Begin=11.96|End=12.369
18-0	SPK0026	Continuing	18	8	мен	мен	linguistic	_	_	Begin=12.066
18-1	SPK0026	Continuing	18	8	шымшып,	шымшып	linguistic	_	_	End=12.9
19-0	SPK0024	Continuing	19	9	¬Жексен	Жексен	linguistic	_	Anonymized=Yes	Begin=12.18
19-1	SPK0024	Continuing	19	9	саған,	саған	linguistic	_	_	End=12.946
20-0	SPK0026	Falling	20	8	шымшып	шымшып	linguistic	_	_	Begin=12.9
20-1	SPK0026	Falling	20	8	алды.	алды	linguistic	_	_	End=13.84
21-0	SPK0024	Continuing	21	9	қаның,	қаның	linguistic	_	_	Begin=12.946|End=13.53
22-0	SPK0024	Falling	22	9	қаншық	қаншық	linguistic	_	_	Begin=13.53
22-1	SPK0024	Falling	22	9	деп	деп	linguistic	_	_	_
22-2	SPK0024	Falling	22	9	қояды.	қояды	linguistic	_	_	End=14.574
23-0	SPK0023	undefined	23	_	@@@@@	@@@@@	linguistic	_	_	Begin=13.915|End=14.886
24-0	SPK0025	undefined	24	_	@@@@	@@@@	linguistic	_	_	Begin=13.955|End=14.74
25-0	SPK0026	Falling	25	10	¬Жексен	Жексен	linguistic	_	Anonymized=Yes	Begin=14.5
25-1	SPK0026	Falling	25	10	#.	#	unknown	_	_	End=15.78
26-0	SPK0027	Continuing	26	11	Есі	Есі	linguistic	_	_	Begin=14.9
26-1	SPK0027	Continuing	26	11	дұрыс	дұрыс	linguistic	_	_	_
26-2	SPK0027	Continuing	26	11	кісі,	кісі	linguistic	_	_	End=15.68
