token_id	speaker	iu_type	tu_id	span	form	type	modality	features	align
0-0	SPK0026	Falling	0	Алып	Алып	linguistic			Begin=0.132
0-1	SPK0026	Falling	0	кет	кет	linguistic			
0-2	SPK0026	Falling	0	ары	ары	linguistic			
0-3	SPK0026	Falling	0	қарай.	қарай	linguistic			End=1.284
1-0	SPK0023	Falling	1	Мхм.	Мхм	linguistic			Begin=0.245|End=0.463
2-0	SPK0023	undefined	2	###	###	unknown			Begin=0.527|End=1.234
3-0	SPK0024	Interrupted	3	А—	А	linguistic		Interrupted=Yes	Begin=1.257|End=1.610
4-0	SPK0028	undefined	4	SOUNDS_FROM_THROAT	SOUNDS_FROM_THROAT	paraverbal	_		Begin=1.518|End=2.705
5-0	SPK0024	Falling	5	Ойнатшы	Ойнатшы	linguistic			Begin=2.127
5-1	SPK0024	Falling	5	кішкене.	кішкене	linguistic			End=3.126
6-0	SPK0026	Continuing	6	Байқа,	Байқа	linguistic			Begin=3.708|End=4.285
7-0	SPK0026	Falling	7	бірдеңе	бірдеңе	linguistic			Begin=4.291
7-1	SPK0026	Falling	7	##.	##	unknown			End=5.392
8-0	SPK0027	Falling	8	Ана	Ана	linguistic			Begin=4.635
8-1	SPK0027	Falling	8	жерде	жерде	linguistic			
8-2	SPK0027	Falling	8	жұмсақ	жұмсақ	linguistic			
8-3	SPK0027	Falling	8	ойыншықтар	ойыншықтар	linguistic			
8-4	SPK0027	Falling	8	жатыр.	жатыр	linguistic			End=6.004
9-0	SPK0027	Falling	9	Төсектің	Төсектің	linguistic			Begin=6.004
9-1	SPK0027	Falling	9	үстінде.	үстінде	linguistic			End=6.926
10-0	SPK0027	Falling	10	Көрсетші	Көрсетші	linguistic			Begin=6.927
10-1	SPK0027	Falling	10	соларды.	соларды	linguistic			End=8.095
11-0	SPK0028	Falling	11	Ойыншықтан	Ойыншықтан	linguistic			Begin=7.527
11-1	SPK0028	Falling	11	көп	көп	linguistic			
11-2	SPK0028	Falling	11	нәрсе	нәрсе	linguistic			
11-3	SPK0028	Falling	11	жоқ	жоқ	linguistic			
11-4	SPK0028	Falling	11	###.	###	unknown			End=9.661
12-0	SPK0024	Continuing	12	Ойнатып,	Ойнатып	linguistic			Begin=8.934|End=9.463
13-0	SPK0024	Falling	13	үйрете	үйрете	linguistic			Begin=9.463
13-1	SPK0024	Falling	13	бер.	бер	linguistic			End=10.118
14-0	SPK0024	Falling	14	Үйрене	Үйрене	linguistic			Begin=10.118
14-1	SPK0024	Falling	14	бер.	бер	linguistic			End=11.163
15-0	SPK0024	Continuing	15	Балаң	Балаң	linguistic			Begin=11.333
15-1	SPK0024	Continuing	15	болса,	болса	linguistic			End=12.072
16-0	SPK0024	Falling	16	үйретесің.	үйретесің	linguistic			Begin=12.072|End=12.997
17-0	SPK0024	Falling	17	####.	####	unknown			Begin=12.997|End=13.464
18-0	SPK0026	Falling	18	Кетші	Кетші	linguistic			Begin=13.293
18-1	SPK0026	Falling	18	эй.	эй	linguistic			End=13.867
19-0	SPK0026	undefined	19	@@	@@	linguistic			Begin=13.867|End=14.710
20-0	SPK0026	Rising	20	Содан	Содан	linguistic			Begin=17.579
20-1	SPK0026	Rising	20	кейін?	кейін	linguistic			End=18.389
21-0	SPK0027	Falling	21	(Hx)	(Hx)	_			Begin=18.746
21-1	SPK0027	Falling	21	сөйтіп	сөйтіп	linguistic			
21-2	SPK0027	Falling	21	сол.	сол	linguistic			End=19.692
22-0	SPK0027	Falling	22	Тойдың	Тойдың	linguistic			Begin=19.774
22-1	SPK0027	Falling	22	сондай	сондай	linguistic			
22-2	SPK0027	Falling	22	қызықтары	қызықтары	linguistic			
22-3	SPK0027	Falling	22	болды.	болды	linguistic			End=21.362
23-0	SPK0023	Continuing	23	###,	###	unknown			Begin=21.227|End=21.889
24-0	SPK0023	Continuing	24	туған	туған	linguistic			Begin=21.891
24-1	SPK0023	Continuing	24	күн#,	күн#	linguistic			End=22.578
25-0	SPK0023	Falling	25	болдым	болдым	linguistic			Begin=22.578
25-1	SPK0023	Falling	25	болдым.	болдым	linguistic			End=23.267
26-0	SPK0023	Falling	26	Туған	Туған	linguistic			Begin=23.267
26-1	SPK0023	Falling	26	күні	күні	linguistic			
26-2	SPK0023	Falling	26	ғой	ғой	linguistic			
26-3	SPK0023	Falling	26	деймін	деймін	linguistic			
26-4	SPK0023	Falling	26	дейді.	дейді	linguistic			End=24.552
27-0	SPK0026	Rising	27	А?	А	linguistic			Begin=25.105|End=25.554
28-0	SPK0023	Continuing	28	Таңертең	Таңертең	linguistic			Begin=25.142
28-1	SPK0023	Continuing	28	сағат	сағат	linguistic			
28-2	SPK0023	Continuing	28	төртте,	төртте	linguistic			End=26.041
29-0	SPK0023	Falling	29	балыққа	балыққа	linguistic			Begin=26.041
