token_id	speaker	iu_type	iu_id	tu_id	span	form	type	modality	features	align
0-0	SPK0031	Continuing	0	0	Моншалары	Моншалары	linguistic	_	_	Begin=0.0
0-1	SPK0031	Continuing	0	0	бар	бар	linguistic	_	_	_
0-2	SPK0031	Continuing	0	0	ғой	ғой	linguistic	_	_	_
0-3	SPK0031	Continuing	0	0	деймін,	деймін	linguistic	_	_	End=1.124
1-0	SPK0031	Rising	1	0	иә	иә	linguistic	_	_	Begin=1.135
1-1	SPK0031	Rising	1	0	осы?	осы	linguistic	_	_	End=1.944
2-0	SPK0032	Rising	2	1	Кімнің?	Кімнің	linguistic	_	_	Begin=2.971|End=3.655
3-0	SPK0031	Falling	3	2	¬Жаниялардың.	Жаниялардың	linguistic	_	Anonymized=Yes	Begin=3.818|End=4.823
4-0	SPK0032	Falling	4	3	Білмеймін.	Білмеймін	linguistic	_	_	Begin=4.823|End=5.264
5-0	SPK0032	Continuing	5	3	Баяғыда,	Баяғыда	linguistic	_	_	Begin=5.288|End=5.664
6-0	SPK0032	Falling	6	4	монша	монша	linguistic	_	_	Begin=5.664
6-1	SPK0032	Falling	6	4	салып	салып	linguistic	_	_	_
6-2	SPK0032	Falling	6	4	жатырмыз	жатырмыз	linguistic	_	_	_
6-3	SPK0032	Falling	6	4	деп	деп	linguistic	_	_	_
6-4	SPK0032	Falling	6	4	жүретін.	жүретін	linguistic	_	_	End=6.895
7-0	SPK0032	Falling	7	5	Қайдан	Қайдан	linguistic	_	_	Begin=6.895
7-1	SPK0032	Falling	7	5	білемін.	білемін	linguistic	_	_	End=7.518
8-0	SPK0031	Falling	8	6	Болу	Болу	linguistic	_	_	Begin=7.241
8-1	SPK0031	Falling	8	6	керек	керек	linguistic	_	_	_
8-2	SPK0031	Falling	8	6	ей.	ей	linguistic	_	_	End=8.247
9-0	SPK0032	Falling	9	7	##	##	unknown	_	_	Begin=8.424
9-1	SPK0032	Falling	9	7	шығар.	шығар	linguistic	_	_	End=9.194
10-0	SPK0032	Falling	10	8	Монша	Монша	linguistic	_	_	Begin=9.194
10-1	SPK0032	Falling	10	8	болмағанда	болмағанда	linguistic	_	_	_
10-2	SPK0032	Falling	10	8	енді.	енді	linguistic	_	_	End=10.788
11-0	SPK0031	Falling	11	9	Құдай	Құдай	linguistic	_	_	Begin=10.624
11-1	SPK0031	Falling	11	9	сақтасын.	сақтасын	linguistic	_	_	End=11.688
12-0	SPK0032	Falling	12	10	Бар	Бар	linguistic	_	_	Begin=11.024
12-1	SPK0032	Falling	12	10	шығар.	шығар	linguistic	_	_	End=11.776
13-0	SPK0032	Continuing	13	11	Әгі	Әгі	linguistic	_	_	Begin=30.501
13-1	SPK0032	Continuing	13	11	жоя:н,	жоян	linguistic	_	Prolongation=2	End=31.548
14-0	SPK0032	Falling	14	11	терек	терек	linguistic	_	_	Begin=31.564
14-1	SPK0032	Falling	14	11	екі	екі	linguistic	_	_	_
14-2	SPK0032	Falling	14	11	айлық	айлық	linguistic	_	_	_
14-3	SPK0032	Falling	14	11	болып	болып	linguistic	_	_	_
14-4	SPK0032	Falling	14	11	тұрған	тұрған	linguistic	_	_	_
14-5	SPK0032	Falling	14	11	анау	анау	linguistic	_	_	_
14-6	SPK0032	Falling	14	11	әлі	әлі	linguistic	_	_	_
14-7	SPK0032	Falling	14	11	тұр	тұр	linguistic	_	_	_
14-8	SPK0032	Falling	14	11	ей.	ей	linguistic	_	_	End=34.085
15-0	SPK0031	Falling	15	12	А.	А	linguistic	_	_	Begin=35.242|End=35.63
16-0	SPK0031	Rising	16	13	Теректі	Теректі	linguistic	_	_	Begin=36.406
16-1	SPK0031	Rising	16	13	айтасың	айтасың	linguistic	_	_	_
16-2	SPK0031	Rising	16	13	ба?	ба	linguistic	_	_	End=37.693
17-0	SPK0031	Falling	17	14	Бас	Бас	linguistic	_	_	Begin=38.528
17-1	SPK0031	Falling	17	14	жағын	жағын	linguistic	_	_	_
17-2	SPK0031	Falling	17	14	кішкене	кішкене	linguistic	_	_	_
17-3	SPK0031	Falling	17	14	####.	####	unknown	_	_	End=40.394
18-0	SPK0032	Falling	18	15	Бас	Бас	linguistic	_	_	Begin=40.283
18-1	SPK0032	Falling	18	15	жағы	жағы	linguistic	_	_	_
18-2	SPK0032	Falling	18	15	қурап	қурап	linguistic	_	_	_
18-3	SPK0032	Falling	18	15	###	###	unknown	_	_	End=42.294
19-0	SPK0031	Continuing	19	16	Бір	Бір	linguistic	_	_	Begin=41.064
19-1	SPK0031	Continuing	19	16	терек,	терек	linguistic	_	_	End=42.135
20-0	SPK0031	Continuing	20	16	бір	бір	linguistic	_	_	Begin=42.143
20-1	SPK0031	Continuing	20	16	терек	терек	linguistic	_	_	_
20-2	SPK0031	Continuing	20	16	аппақ	аппақ	linguistic	_	_	_
20-3	SPK0031	Continuing	20	16	болып,	болып	linguistic	_	_	End=43.512
21-0	SPK0031	Falling	21	16	қурап	қурап	linguistic	_	_	Begin=43.513
21-1	SPK0031	Falling	21	16	тұр	тұр	linguistic	_	_	_
21-2	SPK0031	Falling	21	16	әшейін.	әшейін	linguistic	_	_	End=44.604
22-0	SPK0032	Rising	22	17	Иә?	Иә	linguistic	_	_	Begin=44.679|End=45.269
23-0	SPK0031	Falling	23	18	Сұмдық	Сұмдық	linguistic	_	_	Begin=44.761
23-1	SPK0031	Falling	23	18	ей.	ей	linguistic	_	_	End=45.449
24-0	SPK0031	Falling	24	19	¬Жанналар	Жанналар	linguistic	_	Anonymized=Yes	Begin=45.852
24-1	SPK0031	Falling	24	19	жақ	жақ	linguistic	_	_	_
24-2	SPK0031	Falling	24	19	шетте.	шетте	linguistic	_	_	End=47.364
25-0	SPK0032	Falling	25	20	Иә.	Иә	linguistic	_	_	Begin=47.4|End=47.9
26-0	SPK0031	Falling	26	21	Екі	Екі	linguistic	_	_	Begin=48.465
26-1	SPK0031	Falling	26	21	терек	терек	linguistic	_	_	_
26-2	SPK0031	Falling	26	21	қурап	қурап	linguistic	_	_	_
26-3	SPK0031	Falling	26	21	тұр.	тұр	linguistic	_	_	End=49.921
27-0	SPK0031	Continuing	27	22	Бір	Бір	linguistic	_	_	Begin=49.95
27-1	SPK0031	Continuing	27	22	терек	терек	linguistic	_	_	_
27-2	SPK0031	Continuing	27	22	әгінде,	әгінде	linguistic	_	_	End=51.084
