token_id	speaker	iu_type	iu_id	tu_id	span	form	type	modality	features	align
0-0	SPK3002	Continuing	0	0	Такс	Такс	linguistic	_	_	Begin=41.06
0-1	SPK3002	Continuing	0	0	професии,	професии	linguistic	_	_	End=42.13
1-0	SPK3002	Falling	1	0	искусства.	искусства	linguistic	_	_	Begin=42.13|End=43.03
2-0	SPK3002	Continuing	2	1	Жетісі,	Жетісі	linguistic	_	_	Begin=44.554|End=45.32
3-0	SPK3002	Falling	3	1	сегізі	сегізі	linguistic	_	_	Begin=45.32
3-1	SPK3002	Falling	3	1	дейді.	дейді	linguistic	_	_	End=46.41
4-0	SPK3001	undefined	4	_	CLEARS_THROAT	CLEARS_THROAT	linguistic	_	_	Begin=127.4|End=128.85
5-0	SPK3001	Continuing	5	2	Әй,	Әй	linguistic	_	_	Begin=332.29|End=332.93
6-0	SPK3001	Rising	6	2	балам?	балам	linguistic	_	_	Begin=333.07|End=333.802
7-0	SPK3001	Falling	7	2	Немене	Немене	linguistic	_	_	Begin=333.802
7-1	SPK3001	Falling	7	2	істеп	істеп	linguistic	_	_	_
7-2	SPK3001	Falling	7	2	жатырсың.	жатырсың	linguistic	_	_	End=334.841
8-0	SPK3001	Falling	8	3	А.	А	linguistic	_	_	Begin=335.61|End=336.382
9-0	SPK3002	Falling	9	4	Жа:й.	Жай	linguistic	_	Prolongation=1	Begin=336.177|End=337.471
10-0	SPK3001	Continuing	10	5	Бір	Бір	linguistic	_	_	Begin=337.037
10-1	SPK3001	Continuing	10	5	жұм–,	жұм–	linguistic	_	_	End=337.845
11-0	SPK3001	Falling	11	6	бастайық	бастайық	linguistic	_	_	Begin=337.9
11-1	SPK3001	Falling	11	6	енді	енді	linguistic	_	_	_
11-2	SPK3001	Falling	11	6	жұмысты.	жұмысты	linguistic	_	_	End=338.862
12-0	SPK3001	Falling	12	7	Ойбай.	Ойбай	linguistic	_	_	Begin=338.862|End=339.4
13-0	SPK3001	Continuing	13	8	Мына,	Мына	linguistic	_	_	Begin=339.559|End=340.468
14-0	SPK3001	Falling	14	8	нелерді	нелерді	linguistic	_	_	Begin=340.53
14-1	SPK3001	Falling	14	8	қойып	қойып	linguistic	_	_	_
14-2	SPK3001	Falling	14	8	қояйын.	қояйын	linguistic	_	_	End=341.72
15-0	SPK3001	undefined	15	_	####	####	unknown	_	_	Begin=341.762|End=342.946
16-0	SPK3002	Rising	16	9	Зарядкаң	Зарядкаң	linguistic	_	_	Begin=360.8
16-1	SPK3002	Rising	16	9	істеп	істеп	linguistic	_	_	_
16-2	SPK3002	Rising	16	9	жүр	жүр	linguistic	_	_	_
16-3	SPK3002	Rising	16	9	ме?	ме	linguistic	_	_	End=362.72
17-0	SPK3001	Falling	17	10	Мхм.	Мхм	linguistic	_	_	Begin=362.33|End=363.392
18-0	SPK3002	Continuing	18	11	Если	Если	linguistic	_	_	Begin=364.197
18-1	SPK3002	Continuing	18	11	ананың	ананың	linguistic	_	_	_
18-2	SPK3002	Continuing	18	11	басы	басы	linguistic	_	_	_
18-3	SPK3002	Continuing	18	11	үзіліп	үзіліп	linguistic	_	_	_
18-4	SPK3002	Continuing	18	11	қалып,	қалып	linguistic	_	_	End=365.579
19-0	SPK3002	Continuing	19	11	бірнәрсе	бірнәрсе	linguistic	_	_	Begin=365.59
19-1	SPK3002	Continuing	19	11	болып	болып	linguistic	_	_	_
19-2	SPK3002	Continuing	19	11	істемей	істемей	linguistic	_	_	_
19-3	SPK3002	Continuing	19	11	қалса,	қалса	linguistic	_	_	End=366.545
20-0	SPK3002	Falling	20	11	андағындай	андағындай	linguistic	_	_	Begin=366.545
20-1	SPK3002	Falling	20	11	үйде	үйде	linguistic	_	_	_
