token_id	speaker	iu_type	tu_id	span	form	type	modality	features	align
0-0	SPK5001	Falling	0	Құттай	Құттай	linguistic			Begin=0.000
0-1	SPK5001	Falling	0	ғана	ғана	linguistic			
0-2	SPK5001	Falling	0	құйшы.	құйшы	linguistic			End=0.800
1-0	SPK5001	Falling	1	Кішкентай.	Кішкентай	linguistic			Begin=1.947|End=2.808
2-0	SPK5002	Falling	2	Құрттай.	Құрттай	linguistic			Begin=24.135|End=24.653
3-0	SPK5001	Continuing	3	¬Алтынбек,	Алтынбек	linguistic		Anonymized=Yes	Begin=53.002|End=53.320
4-0	SPK5001	Rising	4	өзі	өзі	linguistic			Begin=53.320
4-1	SPK5001	Rising	4	сұрады	сұрады	linguistic			
4-2	SPK5001	Rising	4	ма?	ма	linguistic			End=54.284
5-0	SPK5002	Rising	5	Ақша	Ақша	linguistic			Begin=55.400
5-1	SPK5002	Rising	5	ма?	ма	linguistic			End=56.102
6-0	SPK5001	Falling	6	Иә.	Иә	linguistic			Begin=56.680|End=57.100
7-0	SPK5001	Continuing	7	Әлде	Әлде	linguistic			Begin=57.100
7-1	SPK5001	Continuing	7	өзің,	өзің	linguistic			End=57.470
8-0	SPK5001	Falling	8	салып	салып	linguistic			Begin=57.470
8-1	SPK5001	Falling	8	жібердің	жібердің	linguistic			
8-2	SPK5001	Falling	8	бе.	бе	linguistic			End=58.072
9-0	SPK5002	Falling	9	Жоқ.	Жоқ	linguistic			Begin=58.090|End=58.690
10-0	SPK5002	Continuing	10	Өзім	Өзім	linguistic			Begin=59.590
10-1	SPK5002	Continuing	10	ғой,	ғой	linguistic			End=59.960
11-0	SPK5002	Falling	11	салып	салып	linguistic			Begin=59.960
11-1	SPK5002	Falling	11	жіберген.	жіберген	linguistic			End=60.570
12-0	SPK5002	Continuing	12	Салып	Салып	linguistic			Begin=62.854
12-1	SPK5002	Continuing	12	жіберіп	жіберіп	linguistic			
12-2	SPK5002	Continuing	12	едім,	едім	linguistic			End=63.500
13-0	SPK5002	Continuing	13	мама,	мама	linguistic			Begin=63.500|End=64.000
14-0	SPK5002	Falling	14	ақша	ақша	linguistic			Begin=64.010
14-1	SPK5002	Falling	14	салып	салып	linguistic			
14-2	SPK5002	Falling	14	жібердің.	жібердің	linguistic			End=64.979
15-0	SPK5001	Continuing	15	Аша	Аша	linguistic			Begin=64.530
15-1	SPK5001	Continuing	15	қойшы,	қойшы	linguistic			End=65.038
16-0	SPK5001	Falling	16	до	до	linguistic			Begin=65.038
16-1	SPK5001	Falling	16	конца.	конца	linguistic			End=65.755
17-0	SPK5002	Falling	17	Жазып	Жазып	linguistic			Begin=67.762
17-1	SPK5002	Falling	17	жіберіпті.	жіберіпті	linguistic			End=68.272
18-0	SPK5002	Continuing	18	Мама,	Мама	linguistic			Begin=68.272|End=68.716
19-0	SPK5002	Continuing	19	ақша	ақша	linguistic			Begin=68.764
19-1	SPK5002	Continuing	19	салып	салып	linguistic			
19-2	SPK5002	Continuing	19	жібердің	жібердің	linguistic			
19-3	SPK5002	Continuing	19	ғой,	ғой	linguistic			End=69.480
20-0	SPK5002	Falling	20	неге	неге	linguistic			Begin=69.480
20-1	SPK5002	Falling	20	деп.	деп	linguistic			End=70.308
21-0	SPK5001	Rising	21	Керек	Керек	linguistic			Begin=72.056
21-1	SPK5001	Rising	21	емес	емес	linguistic			
21-2	SPK5001	Rising	21	дей	дей	linguistic			
21-3	SPK5001	Rising	21	ме?	ме	linguistic			End=72.888
22-0	SPK5002	Continuing	22	Сосын	Сосын	linguistic			Begin=73.850
22-1	SPK5002	Continuing	22	айтып	айтып	linguistic			
22-2	SPK5002	Continuing	22	едім	едім	linguistic			
22-3	SPK5002	Continuing	22	ғой,	ғой	linguistic			End=74.398
23-0	SPK5002	undefined	23	ерте–	ерте–	linguistic			Begin=74.398|End=74.698
