token_id	speaker	iu_type	iu_id	tu_id	span	form	type	modality	features	align
0-0	SPK0014	Falling	0	0	Міне.	Міне	linguistic	_	_	Begin=0.0|End=0.568
1-0	SPK3011	Falling	1	1	Е:.	Е	linguistic	_	Prolongation=0	Begin=0.618|End=1.455
2-0	SPK3010	Rising	2	2	Келін	Келін	linguistic	_	_	Begin=2.528
2-1	SPK3010	Rising	2	2	бе?	бе	linguistic	_	_	End=3.666
3-0	SPK0014	Falling	3	3	Менің	Менің	linguistic	_	_	Begin=4.601
3-1	SPK0014	Falling	3	3	мамам.	мамам	linguistic	_	_	End=5.429
4-0	SPK3011	Falling	4	4	Келін.	Келін	linguistic	_	_	Begin=4.637|End=5.579
5-0	SPK0014	Continuing	5	5	Міне,	Міне	linguistic	_	_	Begin=6.729|End=7.461
6-0	SPK0014	Continuing	6	5	мынау,	мынау	linguistic	_	_	Begin=7.514|End=7.922
7-0	SPK0014	Falling	7	6	мамам.	мамам	linguistic	_	_	Begin=7.922|End=8.596
8-0	SPK3011	Falling	8	7	Е:.	Е	linguistic	_	Prolongation=0	Begin=9.053|End=9.742
9-0	SPK3011	Continuing	9	8	Шашы	Шашы	linguistic	_	_	Begin=10.144
9-1	SPK3011	Continuing	9	8	өзі,	өзі	linguistic	_	_	End=10.97
10-0	SPK3011	Falling	10	8	сарып	сарып	linguistic	_	_	Begin=10.97
10-1	SPK3011	Falling	10	8	болып	болып	linguistic	_	_	_
10-2	SPK3011	Falling	10	8	кеткен	кеткен	linguistic	_	_	_
10-3	SPK3011	Falling	10	8	бе.	бе	linguistic	_	_	End=12.073
11-0	SPK0014	Continuing	11	9	Иә,	Иә	linguistic	_	_	Begin=12.703|End=12.961
12-0	SPK0014	Falling	12	9	мамамның	мамамның	linguistic	_	_	Begin=12.961
12-1	SPK0014	Falling	12	9	шашы	шашы	linguistic	_	_	_
12-2	SPK0014	Falling	12	9	сары	сары	linguistic	_	_	_
12-3	SPK0014	Falling	12	9	ғой.	ғой	linguistic	_	_	End=14.049
13-0	SPK3011	Falling	13	10	А:.	А	linguistic	_	Prolongation=0	Begin=13.938|End=14.679
14-0	SPK0014	Falling	14	11	Міне.	Міне	linguistic	_	_	Begin=15.512|End=16.236
