speaker	span	translation
SPK0015	Аа.	Oh really, are our mountains low?
SPK0017	Тянь-Шань Тянь-Шаньнан кейін Алатау #	After Tian Shan there is Alatau [in terms of height].
SPK0015	Біздікі аласа ма	
SPK0016	Біздікі хребет	Do you know what хребет means in Kazakh... oh no, I meant in Russian?
	хребет дегенді білесің бе сен	
SPK0015	Ааа.	I see.
SPK0016	қазақша айт- орысша айтқанды	
	Жоталар сияқты ## жазық	It is means a ridge. They are usually steep.
	аналар сияқты емес	Not like those.
	Ананікі биік-биік былай	Those are big like this.
SPK0015	Қара таулар иә	Those are Karatau mountains, right?
SPK0017	Еее.	Yes.
	Мынау Тарбағатайдың тауы хребет	The mountain in Tarbagatai is actually a ridge.
SPK0016	Алатау.	Alatau...
SPK0017	Айналып барады дағы А-	It goes all the way before joining...
	Ал- Ал- Алматының Алатауына қосылады	the Alatau mountains in Almaty.
SPK0015	¬Сания бар ғой,	"You know what.. Saniya saw the Karatau mountains for the first time. She saw it for the first time. ""Are there mountains like these, I did not know"" was her reaction when she went there."
	Қаратауды бірінші рет көріп тұр ғой	
	Көріпті ғой	
SPK0016	Осындай да тау бола ма дейді ғой @@@@@@	"She said ""Wow,  there are also mountains like these, I did not know""."
SPK0015	Осындай да тау бола ма деп айтыпты ғой	
SPK0016	Ылғи тас қой ол.	There are rocks everwhere.
SPK0015	Келгенде	
	Тас.	Rocks.
SPK0017	Әгі алдында ###	The other time ###...
SPK0015	Сонда Алматыда қандай тау	So, what kind of mountains there are in Almaty (where Saniya is from)?
SPK0017	Алатау ол жақта тас сондай тас қой бірақ ол жақта жасыл ###	There are also rocks in Alatau ###.
	Араламаған ғой просто жәй сыртын бергі жағын бүйтіп көреді	They just did not see all of the mountain. They only were on the reachable side of the mountain.
	Ары қарай бармайды ғой ол жаққа көбіне	Many do not go any farther than that.
	Соған ## білмейді де	They really do not know and ###.
	Оралда жүргенде	When I was in Oral,
	бір жігіттер айтты ана	one guy suggested that we go to some village here in Kazakhstan.
	бір осы жерден бір Қазақстанда бір ауылға барып келейік	
	Холодильник бар деді сол	He said there is a frige that needs to be brought.
	Үй мен жер-көктің бәрі ##	All the houses and the land was ##.
SPK0015	Мен газды өшірейінші айтпақшы	By the way, let me go and switch off the gas.
SPK0017	А:йдап келеміз айғайлайды бір жерде тау #####	We were driving and he shouts, saying ####.
	Мен джипта отырмын	I was inside a jeep.
	Ауыл ###.	The village ###.
	Холодильникті ашып ## жерден барып тиеп алдық	We took the fridge and loaded onto the car.
	Сосын келе жатырмыз	After that we were driving back and I asked:
	### сенің тауларың қайда еді	where are your mountains? (where are the mountains that you told me would be here?)
	Көрген жоқсыз ба дейді	"He said, ""Didn't you see?"""
	Өй жоқ көрген жоқпын дедім	I said I did not.
	###дан қазір түсеміз дейді	He said were would go down the ###.
SPK0016	@@@@@	@@@@@
SPK0017	И жарайды деп	"I was like ""nah, okay'."
	пердік пердік пердік	We were driving and driving, and I asked where the mountain was again.
