speaker	span	translation
SPK4006	Ыы,	
	жаңа,	
	GRE,	
	ға,	
	бұрыннан естігенмін,	
	дайындалу үшін,	
	Magoosh деген,	
	не бар деп.	
SPK4007	Мхм.	
SPK4006	Приложение.	
	Сөз жаттауға арналған.	
	Соны қарап,	
	бірнеше сөздерді,	
	там,	
	о–	
	оқып үйреніп,	
	көріп едім.	
SPK4007	Мхм.	
SPK4006	Қиын сөздер,	
	кәдімгі,	
	біз,	
	көп қолданбайтын:,	
	тексттарда да,	
	көп кездесе бермейтін:.	
SPK4007	Мысалы.	
SPK4006	Там:,	
	venerate.	
SPK4007	Mмм.	
SPK4006	Немесе,	
	мысалы,	
	mercurial,	
	деген,	
	қандай мағына білдіреді,	
	деп ойлайсың?	
SPK4007	Mercurial?	
	Планета ғой–	
	@@	
	Mercury,	
	деп айтсам иә.	
SPK4006	Жоқ ол,	
	ыыы,	
	сын есім.	
SPK4007	Ааа.	
SPK4006	Mercurial.	
SPK4007	Типо,	
	какой-то?	
SPK4006	А?	
SPK4007	Какой-то,	
	деген сияқты ма?	
SPK4006	Иә.	
	Mercurial.	
SPK4007	Ммм,	
	типо,	
	spectacular,	
	###	
	деген сияқты ма?	
SPK4006	О жоқ.	
	Обычно,	
	мінезі #,	
	құбылмалы:,	
	деген сияқты,	
	мағынада.	
	Ой сорри.	
	Ананы жақын жерге қойып қояйыншы,	
SPK4007	Мхм.	
SPK4006	А то біздің ана,	
	айтып жатқанымыз,	
	естіліп жатқан жоқ сияқты.	
SPK4007	Мхм.	
	#,	
	қай киімді аламын,	
	қайсысын алмаймын?	
	Сол уайым болды ше,	
	маған.	
	Қазір анда,	
	он сегіз дейді.	
SPK4006	Градус?	
SPK4007	Аха.	
SPK4006	Жаңбыр жауып жатыр.	
SPK4007	Жұма деген,	
	ыстық болады.	
	Вообще ##	
SPK4006	А сен,	
	екі аптаға барасың ғой?	
SPK4007	Мхм.	
SPK4006	Этот,	
	қатты,	
	қалың киімдеріңді,	
	алмай-ақ қойсай.	
	¬Керімде бар шығар,	
	более менее,	
	жылы киімдер.	
SPK4007	Мхм.	
SPK4006	Просто сен,	
	ары бері жүресің,	
	ана,	
	той болатын ауылға барасың.	
SPK4007	Сол ғой.	
SPK4006	Каждый раз,	
	заттарыңды,	
	көтеріп жүрген,	
	қиын болады.	
	Мен де короче,	
	қалың заттарымды алмаймын.	
SPK4007	@	
SPK4006	Теннисқа,	
	¬Майя,	
	¬Асқар,	
	¬Раисов,	
	төртеуіміз,	
	баратын шығармыз.	
SPK4007	Ммм	
SPK4006	В принципе	
	¬Асқарға да айттық.	
	Мен,	
	ана,	
	Миньоны деген,	
	фильді көргім келеді.	
	Ой,	
	мультфильм.	
SPK4007	Көргім келеді?	
SPK4006	Иә.	
	Айтам ғой деймін,	
	теннистан кейін барайықшы,	
	деп.	
SPK4007	Ммм.	
	Нет #,	
	күшті болып жатыр.	
SPK4006	Иә.	
	Жаңа,	
	андай рил көрдім.	
SPK4007	Мхм.	
SPK4006	Анау,	
	Гру ма?	
	Как его звали?	
	Главно перс–	
	ну,	
	анау злой,	
	отрицательный.	
SPK4007	Ыыы.	
SPK4006	Короче,	
	соның,	
	түрін,	
SPK4007	Аха.	
SPK4006	ыы,	
	андай,	
	кішкентай миньондардан,	
	ыы,	
	салып жасаған.	
SPK4007	Ааа	
SPK4006	Бір адам	
	каждый,	
	миньон ре–	
	суретін салып отырған.	
SPK4007	@@	
SPK4006	SINGING	
SPK4007	Сонда,	
	GRE,	
	бүкіл,	
	университтерге керек пе?	
SPK4006	Бүкіліне емес.	
SPK4007	Или желательно?	
SPK4006	Мен негізі–	
	Желательно.	
	Бірақ мен,	
	кейбір универлерді қарадым.	
	Мысалы.	
	Erasmusқа керек емес.	
SPK4007	Мхм.	
SPK4006	Ыы,	
	Германиядағы,	
	кейбір универлерді,	
	қарағанда,	
	кейбіріне керек,	
	кейбіріне,	
	керек емес.	
SPK4007	Ммм.	
SPK4006	Ммм.	
	ыы,	
	Там GREдың,	
	ол да SAT сияқты.	
	Ішінде,	
	Subject testтары,	
	де болады екен.	
SPK4007	Ммм.	
	Там:,	
	сен бір айда,	
	дайындалып,	
	үлгеремін дейсің ба?	
