speaker	span	translation
SPK0032	IS_CHOPPING_DRIED_FRUITS	
SPK0014	Ұнды толтырып қойдым.	I filled up the flour [jar].
SPK0032	Ұн илейсің бе.	Will you make a dough?
SPK0014	Ұн илеймін ғой.	I will make one.
	Нан илеймін ғой.	I will make a dough.
SPK0032	Әгі өзі магазиннің бір,	You know I've seen people bring a store-bought, hard dough and use it. What do they do with it, Takalok?
	қатты нанын әкеліп істеп жатады ғой ол,	
	о- оған да не істейді ¬Тәкөлөк?	
SPK0014	(H)	It...
	О—	
	Ол да?	
	Ондай да?	It is also...
	####.	
SPK0032	Ол дайын,	It is already ready [for use], right?
	иә?	
SPK0014	Маған ұнамайды оны өйтіп істеген.	I do not like using it.
	Өз қолымнан жасаймын.	I make [dough] myself.
SPK0032	Со:ны,	That...
	а- анау біздікі соған істейді.	That [kelin of ours] uses such a [store-bought] dough.
	Әгі иленген немене,	That thing which is already [made into a dough]...
	бөлік ##,	A piece...
	қатып тұрады ###.	It is frozen.
SPK0014	Ол не ғой,	Well it is actually... she buys this thingy...whatchamacallit... puff pastry    Puff [pastry].
	е ол,	
	ол кісі не,	
	анандай,	
	слоенный теста сатып алады.	
	Слоенный.	
SPK0032	Е:.	Ah I see.
SPK0014	Бүйткен,	Like this...
SPK0032	Қайдан білейін әкәм.	How could I have known dearie.
SPK0014	май—	fat...
SPK0032	##.	
SPK0014	Майлы тесто болады ғой.	... you know there are like fatty pastries...
	Нелер,	... which have those...
	нелері бар,	
	(TSK)	
	қабыршақтанып тұратын.	...which looks rough-textured (and layered).
SPK0032	Иә иә.	Yes yes.
SPK0014	Сол тесто.	That is the dough.
SPK0032	Сөйтіп жатады.	It looks just like that.
SPK0014	Сонымен істейді.	That's what [she] uses.
	Ony love can hurt like this	
	Такс.	Well...
	(SINGS)	
	Оңай ғой апа мынау.	Grandma, this one is actually easy!
SPK0032	Ау.	Come again dearie?
SPK0014	О-,	I say it is easy to make [this thing we are doing].
	ңай ғой.	
	Жасаған.	
	Қиын емес.	Not difficult.
	Мхм.	Good.
	(TSK)	
	Мынандай өлшейтін бар бізде.	We have this thing that measures.
SPK0032	Е:.	Oh I see.
SPK0014	####.	
SPK0032	Мына сияқтыны өлшейді иә?	It measures stuff like this, right?
SPK0014	Өлшейді.	Yes, it does.
	Иә.	
	Осы секілдіні өлшейді.	Measures stuff like this.
SPK0032	¬Пәшөн,	Pashon is such a great cake maker!
	тортты қандай күшті жасайды.	
SPK0014	Иә,	Yes.
	қазір жасамай кетті ғой.	These days she is not baking though.
SPK0032	Жасамай ма #?	She isn't?
SPK0014	Қазір,	That's the thing, she is not baking these days.
	жасамай кетті сол.	
SPK0032	А:.	Oh?
SPK0014	Бұрында жасайтын жақсы.	She used to bake consistently in the past.
SPK0032	Иә?	Ah really?
	Е:.	Ah, I see!
SPK0014	Мынаған,	To this one I add baking soda.
	сода қосамын.	
	Ы:,	
SPK0032	Е:.	Aaa.
SPK0014	бір жарты столовый чайный ложка,	I add half a spoon of soda.
	сода қосамын.	
	TAKES_A_SPOON	
	Чайный ложка.	A teaspoon.
SPK0032	Мхм.	Mhm.
SPK0014	@ Дыбыс шығарған ұнайды маған.	I like it when it makes sound (when it fizzles).
	Сода дыбыс шығады ғо-,	You know soda makes a sound, grandma.
	шығарады ғой апа.	
SPK0032	Ау.	Come again dearie?
SPK0014	Сода дыбыс шығарады ғой.	Soda makes a [fizzling sound], you know...
SPK0032	Иә.	Oh really?
SPK0014	Қосқан кезде.	...when you add it [to something].
	Сол ұнайды маған.	I like that.
SPK0032	Қатқан нандарды әкеліп,	Brining all those frozen dough..
	####.	
SPK0014	Ол апа,	Grandma, it is just that puff pastry is something that you can buy in its ready form.
	слоенный тесто анандай.	
	Дайын сатып аласыз анандай,	
SPK0032	Талайды күйгізіп те жіберді ол.	She even burnt most of it.
	Күйіп қалды.	They got burnt.
SPK0014	Кім.	Who?
SPK0032	Соның иісі шығып,	Its smell came out...
	талай әгі өстіп істегендері,	Many stuff that she baked like this got burnt...
	жанып кеткен ана,	
	толған нелер.	
SPK0014	¬Бағдат апай ма?	Are you talking about Bagdat auntie?
	Әлде,	Or did Serikzhan bake those?
SPK0032	Иә.	Yes.
SPK0014	¬Серікжан жасады ма.	
SPK0032	Жоқ,	No, Serikzhan does not bake.
	жасамайды ¬Серікжан.	
	¬Серікжан.	Serikzhan.
	¬Серікжан әйту әгі,	All that Serikzhan cooks is something like eggs, tomatoes and whatnot. Nothing other than that.
	жұмыртқа нелерді сол,	
	помидор бірнәрсе қосып жейді,	
	болды одан басқа.	
	Шешесі жасап,	Her mother baking...
	ондай қайдан келіпті оған.	Impossible for him to have such a skill.
SPK0014	О: сливочные берега:,	
	Сливочные берега:	
	Такс.	Alright.
	Енді не істейміз.	What are we doing now?
	Такс бізге не керек.	What do we need now?
	Маға:н,	I need a grater.
	терка керек.	
	Мына терканы аламын да?	I will take this grater and I am going to grate this butter into [the flour].
	Қазір мен,	
	мына майды,	
	ішіне тёркылаймын.	
SPK0032	Тала:й,	I need a lot of things [ingredients] apparently!
	нәрсе керек екен ғой,	
	мынаны мынаған сала салайын ба?	Shoud I just put this into this?
SPK0014	Жоқ мынаған сала салыңыз.	No, just put it into this.
SPK0032	Е:.	Ah, ok!
SPK0014	Мынау маргарин ғой апа?	Grandma, it is margarine!
SPK0032	Жоқ сонда да,	But still...
	бәрі қоспа### айтамын.	I mean that mixing all this...
SPK0014	Е:.	Ah!
	Е ой аз,	It is not really a lot.
	(TSK)	
	мына оңай апа,	Grandma, it is easy.
	вообще оңай.	Super easy.
SPK0032	Еще оны,	Ah, one even needs to grate it first...
SPK0014	STARTS_GRINDING_THE_FROZEN_BUTTER	
SPK0032	төркілеп салады.	
SPK0014	Енді тёркылап салғанда,	Well speaking of grating...
	кішкене ұн қазір мен,	a little bit of flour... I will now...
	ұнды жабыстырамын ғой мен бір біріне.	I will make the flour stick to each other.
SPK0032	Аха.	Yes.
SPK0014	Соған оңай.	It helps that.
	Мынау им—	This...
	Май әйтпесе,	Otherwise this butter will melt away very quickly. It is very cold now, right from the freezer.
	тез ериді қазір,	
	мынау,	
	сұп-суық,	
	морозильниктан шықты.	
SPK0032	Мхм.	Mhm.
SPK0014	Негізі тез еритін май ғой.	It is actually a butter that melts very quickly.
	Бірден ериді.	Melts immediately.
	Негізі мынаны ана,	Actually this... that...
	вишня бар ғой?	You know the cherries.
	Турап жатқан сіз.	The ones you are chopping.
SPK0032	Иә.	Yes.
SPK0014	Соның орнына курага қосатын.	Instead of them usually dried apricots are added.
SPK0032	Е.	Ah I see.
SPK0014	Бірақ қазір курага қос—	But now dried apricots [I am not adding]...
	Білмеймін.	I don't know.
	Курагамен істеп,	I never tried with dried apricots but the cherries are cheaper.
	көрген жоқпын бірақ,	
	вишня,	
	арзан.	
	Курага қымбат қой.	Dried apricots are expensive, you know.
	Мә сухофрукты.	Oh my, dried fruits are so expensive, grandma!
	қымбат екен апа.	
	Мейіздің өзі,	If you take raisins for instance...
	ең арзаны екі мың без жүз.	the cheapest one is 2500 tenges.
	Теңге.	
SPK0032	(TSK) (TSK) (TSK)	
SPK0014	Вишняңыз үш мың теңге.	The [dried] cherries are 3000.
	Ойлаңыз.	Think about it!
SPK0032	Құдай сақтасын.	God save!
	Астана тіпті қымбат дейді.	They say Astana is even more expensive.
	Қайдан білемін.	How can I know...
	Тамағын,	He talks about the food and stuff over there.
	несін айтып жатады.	
SPK0014	Кім айтты сізге.	Who said that to you?
SPK0032	Осы Күршім,	About Kurshim...
	қалаң да оңып,	... they say that cities are not good either.
	тұрған жоқ дейді ғой.	
SPK0014	Өй бәрі жерде бірдей.	[The prices] are the same everywhere.
SPK0032	Қайдан білемін.	How can I know...
SPK0014	Кім,	Did Zhanasyl say that?
	¬Жанасыл айтты ма.	
SPK0032	Жоқ,	No.
	айтпайды ол сияқтыны.	He never talks about such things like that.
	Әгі телевизордан айтып жатады ғой.	You know, they say such things on TV.
	##	
	####,	
	¬Жанасыл немене жүр дейсің әйту #,	What can you possibly know about what he is up to these days...
	ана үш бала бар,	He has three children...
	одан жұмыс істемейтін қатын бар.	A wife who does not work...
SPK0014	@@	
SPK0032	Одан оның,	Then you've got her clothes sometimes.
	киімі бар арасында.	
	Миі ашып кетті ғой.	Of course he went crazy.
	Осы жерде жүре беру керек еді осы,	He should have stayed here.
	қаңғымай.	Without having to wander around.
	Шешесі,	He could not help but move because his mom also moved.
	шешесі деп,	
	кеткеннен кейін,	
	тоқтамай қойды ғой.	
	Шешесі кетті.	His mother moved.
SPK0014	Енді мамасы ғой.	Well because it is his mother!
	@@	
SPK0032	Не қылса ол қылсын,	Let him do whatever he wishes.
	өзімнің балам өліп қалды не қылсам.	My own child died and I cannot change that.
	Бірақ аман болсын.	But I wish him safety!
	(Hx)	
SPK0014	Осы жолы,	This time they went to Dubai, yes?
	Дубайға ұшып келіпті иә.	
SPK0032	¬Жанасылыма,	I pity my Zhanasyl.
	жаным ашиды.	
	Қайтемін.	There is nothing I can do!
	Құдай ####,	God... one good... but he met this wife of his who is energetic (in a negative sense) and just an idiot.
	бір көрім,	
	не жолыққан екен мынау келіншегі #,	
	шып-ширақ болып.	
	Бір жәрмес,	
	отырған әшейін.	
SPK0014	@@ (H)	
	Ой апа,	Oh grandma!
	сөйлемейді ғой ол.	She never speaks!
SPK0032	Өй,	No!
SPK0014	Үні жоқ,	Not a word.
SPK0032	ақылы жоқ,	She does not have wisdom/intelligence.
SPK0014	Үні жоқ қой?	
SPK0032	жаман келіншек.	Bad wife.
	Бос әшейін.	Always lumbering...
SPK0014	А:.	
SPK0032	Жаман.	Bad.
SPK0014	Енді,	Well her kids are not obedient, I agree.
	балалары тәртіпсіз апа.	
	Балаларына,	I think they two do not scold their children... They are very disobedient.
	айт- ұрс-,	
	ұрспайды ғой деймін екеуі.	
	Балалары,	
	өте тәртіпсіз.	
SPK0032	Иә.	Yes.
	Балалары тентек болғанда керемет.	They are the naughtiest as one could get.
SPK0014	Тентек.	Naughty.
SPK0032	Баланы,	"They never say ""No!"" to their chidlren."
	қой деп айтпайды ғой.	
SPK0014	Қой деп айтпайды.	They never say!
SPK0032	Қой деп айтпайды.	They never do.
SPK0014	Вообще.	At all!
	Ужас просто.	So bad!
	Жаман,	So bad ... they show me different fingers!
	неше түрлі,	
	қол көрсетеді маған.	
SPK0032	О:й,	Oh, God, you know what else...
	құдай,	
SPK0014	Ана ¬Арайлым,	That Arailym is even worse.
	вообще жаман.	
SPK0032	¬Арайлым да мен айтамын мына,	What I say about Arailym is that...
	¬Гүлжан шамданады оған.	..Gulzhan does not like when I say that...
	Ана қыз,	That girl...
	қыздың есі дұрыс емес,	...not everything is right with her head!
	аутизм десем айтады,	When I say she may have autism, she says that I should not say that and that autstic children do not speak [while Arailym can clearly speak].
	қойшы өйтіп айтпа мама,	
	аутизмдер сөйлемейді дейді.	
	Ана әшейін,	Asyl, you know what, just the other day they all came...
	ана күні,	
	келді ғой ¬Асыл.	
	Бүйтіп,	She does like this... hides her eyes, and runs away from us.
	көзін басып,	
	бізден қашады.	
SPK0014	Сөйтеді ол?	She does that - yes!
	Ол білемін мен сондай істейді,	I know she does things like that!
SPK0032	Ана,	That...
SPK0014	ол—	She...
SPK0032	ал енді ана біреу,	... well the other one [the other kid]...
SPK0014	Аутизм емес,	But grandma it is not autism though; it is something behavorial. I do not really understand that either!
	бірақ ол не апа,	
	өзі сондай поведенческий #,	
	бала өзі,	
	түсінбеймін өзі.	
SPK0032	Анау дұрыс емес.	She is not all right!
	Анау күні ана,	The other day she broke her arm into two after curtains fell.
	штор құлап,	
	мына қолды қақ бөліп алыпты.	
SPK0014	А:.	Oh really?
SPK0032	Құлап.	She fell down.
	Гипс.	Gypsum.
SPK0014	Ол,	You know she jumps from the window.
	ол,	
	ол,	
SPK0032	¬Арайлым.	I mean Arailym.
SPK0014	терезеден секіреді ғой ол.	
SPK0032	Иә.	Yes.
	Скамейкадан секіреді.	Jumps from chairs.
SPK0014	Иә,	Yes.
	сөйтеді ғой.	She does that!
SPK0032	Екі скамейканы бірінің үстіне бірін қойып,	They say she put two chairs on top of each other and jumped from the top.
	секірген дейді.	
SPK0014	Тәртіпсіз ғой.	So naughty!
SPK0032	Тәртіпсіз.	Naughty!
SPK0014	Апа ол анандай,	You know, grandma, she draws pictures like that!
	сурет салады ғой?	
SPK0032	Иә.	Yes.
	Иә.	Yes.
SPK0014	Өлген адамның суретін салады ғой.	She draws the pictures of dead people.
	Қан ағып жатқан.	Of those bleeding.
SPK0032	(TSK) (TSK) (TSK)	
	Ананы қой демейді,	"They never say ""No!"" to them."
	шешесі,	"The mother be like: ""You cannot do that!"""
	нельзя нельзя дейді,	
	о:й құдай.	Oh God [is that even scolding?]
SPK0014	@@@@	
SPK0032	Анау күні келін,	The other day, since the kelin [the bride] came...
	келгелі,	
	ана үйлерді оны ана,	...those appartments... then my own kelin becomes upset with me and complains to me about myself... As if I am making the kelin behave in this way.
	келіншек ренжиді,	
	артынан маған сөйлейді,	
	мен істетіп отырғандай.	
	Бізге сөйлейді.	She complains to us, as if I have birth to her and raising her up.
	Мен соны,	
	мен тауып,	
	мен тәрбиелеп отырғандай.	
	Немене ####### өзі,	What a...
	шегіртке құрлы несі де жоқ,	She cannot even compare to a grasshopper.
	түрі де жаман.	She looks ugly as well.
SPK0014	@@	Grandma!
	@Апа.	
SPK0032	Көзге толымды,	I would not complain if she looked good to the eye [but she doesn't]!
	болса да көрім ғой ондай,	
	албасты ма бірдеңе отырған.	She is a crazy one.
SPK0014	@@@@@@@@@	
SPK0032	#,	
	##.	
	Не бір тапқан балалары жөнді емес.	Even the kids she gave birth to are all not normal.
SPK0014	Кішкентай бала тәтті бірақ.	Thought the youngest one is cute.
SPK0032	Қойшы.	No way!
	Қайдағы тәтті.	What cute did you find in him?
	Түрі жаман.	He looks ugly.
	Маймыл сияқты.	Like a monkey.
SPK0014	@@@@	
	@Апа @қойыңызшы.	Grandma, you stop it!
SPK0032	Не мұрны ##,	The nose...
	көзі басы шала туған бала MIMICKS_A_CHILD'S_FACE	...his eyes and head are like that of a prematurely delivered baby.
	адырайған,	Stare wide-eyed.
	дәл мына,	He just resembles the Nurbolatovs'.
