speaker	span	translation
SPK0030	Біз киноға қай күні бардық	What day did we go to the cinema?
SPK0029	Алдыңғы күні барғанбыз	We went the previous day.
SPK0030	Алдыңғы күні ма екі күн бұрын бардық где-то так	We went the day before or two days ago.
	Черная Вдоваға	The Black Widow, was it the first time you watched Marvel movies?
	сен бірінші рет бардың ба	
	Марвелға или как	
SPK0029	Жоқ Марвелды	Жоқ Марвелды, негізі көремін ғой,  просто, Черная Вдова: қатты қызықпадым. No, in general, I watch Marvel movies, but I wasn't particularly interested in the Black Widow movie.
	негізі көремін ғой	
	просто	
	Черная Вдова:	
	қатты қызықпадым	
SPK0030	Қызыққан	Interesting.
	Негізі бар ғой,	In fact, you know Romanoff right, when she died, she, I already forgot in the cinema, but then I remembered that she died in the Endgame.
	Романов бар ғой,	
	өліп қалған кезде	
	ол,	
	уже,	
	мен уже ұмытып қалыппын бар ғой кинодан	
	бірақ есіме түсті что	
	ол финалда өліп қалды	
SPK0029	Сен айттың ғой сол кезде--	You said back then--
SPK0030	Иә мен айттым	Yes I did. You have to watch it, The Last Avenger Part I.
	Саған соны көру керек	
	Последний мститель первая часть.	
SPK0029	Көргем оны	I watched it,
	Көрдім ғой	I did.
SPK0030	Бесконечность пен Финалды ма	The Infinity War and the Engame, right, those with Thanos?
SPK0029	Көрдім	I watched, but I already forgot [what they were about].
	бірақ мен уже ұмытып қалдым просто	
SPK0030	Таносы бар который	
SPK0029	Иә көрдім	Yes, I did, those with Thanos.
	Таносы барды	
SPK0030	А,	When ¬Aruzhan went with us, they didn’t see any [of the films], they seem to have watched Marvel for the first time.
	¬Аружандар бізбен барғанда ешқайсысын көрмеген ғой	
	бірінші рет көрді кажется олар Марвел--	
SPK0029	¬Анель көрген жоқ	¬Anel hasn't watched [them], too.
	###.	
SPK0030	¬Анель көрген жоқ па	¬Anel hasn't?
	А,	
	ал қасында ¬Диана сұрады ғой бізден	Ah, and nearby ¬Diana asked us the same. Maybe.
SPK0029	¬Диана бітіргенге ұқсайды	It looks like ¬Diana finished [the Marvel movies].
SPK0030	Наверное.	
	(Н)	
	Негізі бар ғой,	In fact, there is,
	мм,	
	ээ,	In general, there is, what was her name, Romanoff, at the very end [her] sister said, like Klint killed this Romanoff, she showed the photo at the very end, you have such and such a task, you need to kill her and so on.
	қалай еді анау	
	Романофф,	
	ең аяғында айтты ғой	
	сестрасы типа	
	Романоффты осы	
	өлтіріп тастады деп	
	Клинт,	
	фотосын көрсетті ғой ең аяғында	
	екенін кажется--	
SPK0029	Иә иә,	Yeah yeah.
SPK0030	тебе задание осындай осындай	
	өлтіру керек деп	
	сол кезде	Then, actually, Clint didn't kill her.
	эээ,	
	негізі,	
	Клинт өлтірген жоқ қой оны	
SPK0029	Я тоже не помню.	I don't remember either.
SPK0030	Ол скаладан өзі секірді ғой	She herself jumped off the cliff, for the sake of this, in order to get the soul stones.
	ради этого,	
	чтобы получить камни души,	
	сол короче,	Long story short, she died herself.
	өзі өлген	
	Енді маған ка-	Now I th--
SPK0029	Ма-	I--
SPK0030	маған кажется	It seems to me that her sister is dead now, Natasha, she left the Avengers. She will now take her place, because somehow it is necessary to continue.
	соның апайы енді өлді ғой	
	мстительдан кетті ғой	
	Наташаның	
SPK0029	Анау Мстительлар-	Those Avengers--
SPK0030	Оның орнына кіреді	
SPK0029	Иә.	Yeah.
SPK0030	потому что	
	жалғастыру керек қой бірдеңке етіп	
SPK0029	Басыңда типа андай болады--	In the beginning they were like, squarrelling, and so on.
