speaker	span	translation
SPK0014	Міне.	Here it is.
SPK3011	Е:.	Okay.
SPK3010	Келін бе?	Is it the kelin?
SPK0014	Менің мамам.	My mother.
SPK3011	Келін.	The kelin.
SPK0014	Міне,	Here.
	мынау,	
	мамам.	This is my mom.
SPK3011	Е:.	Ah I see.
	Шашы өзі,	Did her hair turn yellow or something?
	сарып болып кеткен бе.	
SPK0014	Иә,	Yes, my mother's hair is yellow, don't you know?
	мамамның шашы сары ғой.	
SPK3011	А:.	Oh really?
SPK0014	Міне.	Here, look.
SPK3011	Е:.	Oh I see now.
SPK3010	Бергі жағындағысы кім.	Who is the person standing nearer beside her?
SPK0014	Мама.	This is my mom.
SPK3011	Ыыы,	They say this is Baitok's kelin.
	мынау,	
SPK3010	Мынау бергі,	The one standing nearby, closer to us, I mean.
	бергі.	
SPK0014	Мынау ма.	You mean this one?
SPK3011	¬Бәйтөктің,	
	келіні дейді.	
SPK3010	Бергі:.	
SPK0014	Мама.	This is my mother, for God's sake.
	Мамам менің.	My mom!
SPK3011	Аха.	Yes.
SPK0014	@	
SPK3011	Мынау ¬Назгүл,	This is Nazgul, and this is Baitok's kelin, they say.
	мынау ¬Бәйтөктің келіні дейді.	
	¬Бәйтөктің келіні дейді.	They say it is Baitok's kelin.
SPK3010	Міне ¬Назгүл.	This is Nazgul.
SPK0014	Міне ¬Қайрат.	This is Kairat.
SPK3011	М:.	Mm.
	¬Қайрат.	Kairat.
SPK3010	¬Қайрат бір келіншек тауып алып,	Kairat has finally found a kelin and got overjoyed.
	қарық болды @@.	
SPK3011	@@@	
SPK3010	Жиырма сегізге келген кезде @	Right when he turned 28.
SPK0014	Міне қараңыз.	Here, look.
SPK3011	Ой ана қыз,	Apparently, that girl is 24 years old.
	жиырма төртте екен.	
	Әгі келін.	That kelin.
SPK3010	Е.	Oh.
	Енді кішкене,	Had she stayed single for two years more, she would have become a kari kyz.
	бір екі жыл жүрсе,	
	кәрі қыз болып қалар еді.	
SPK3011	Енді жиырма төрт,	Wel, 24 is just right.
	жас деген енді,	
	жарап тұр.	
SPK3010	#### уақыты ғой.	It is right the time of ###
SPK3011	М:.	Mmm.
SPK3010	Мынау етегін ұстап жүрген,	This person who is holding the hem of the dress? Is it the kelin?
	келін бе?	
SPK3011	Мхм.	Mhm.
SPK0014	Иә.	Yes.
SPK3010	М:.	M.
SPK3011	Анау,	That thing that she is wearing is her pata.
	киіп жүрген,	
	патасы ғой.	
SPK3010	(Hx)	
SPK3011	Е:,	So you see...
	міне.	
SPK0014	Әне.	There.
SPK3011	Ресторан,	They say that the restaurant is amazing.
	керемет дейді ғой.	
	###.	
SPK0014	Міне ресторан ата.	Grandpa, look, this is the restaurant.
SPK3011	Түк істемейсің,	They say you do not have to do anything; the restaurant does everything for you.
	өздері жасайды дейді ғой,	
SPK3010	Иә,	Yes, they bring everything themselves too.
SPK3011	тамақтың бәрін.	
SPK3010	өздері:,	
	әкеп береді ғой еще.	
SPK3011	Иә.	Yes.
SPK3010	Өздері жинап алады ыдысты.	They they clean up afterwards themselves.
SPK3011	Түг—	Nothing.
SPK3010	Ештеңеге қолың,	You do not have to move a finger basically.
	қималдатпайсың баяғы.	
SPK3011	Ыдыстың барлығы алтын дейді ғой.	Apparently all the dishes are made of gold.
SPK3010	А:.	Oh really?
SPK3011	Түгел,	Everything is covered with gold apparently.
	алтынмен жалатылған дейді ей.	
	Туф әкең,	Oh man, what a...
	недеген,	
	а,	
	жамбы атудан дейді ме.	Did they say that [the kelin] does zhamby atu?
	Ойбай-ай.	Oh my!
	Ыдыстың бәрі,	They say all the dishes were gilded.
	алтын жалатқан дейді ғой.	
	Алла:.	Oh God!
SPK0014	Міне,	Here, look!
	міне,	Here, look!
SPK3010	¬Күлзипа.	Kulzipa.
SPK0014	¬Күлзипа ##	This is Kulzipa.
SPK3011	Өзі,	Quda is not visible for some reason.
	құда көрінбейді ғой өзі.	
	Мынау әгі ¬Төкенің,	This one is that tall child of Toke's.
	ұзының,	
	@	
	Әкесі ұзын еді.	His father was a tall man.
	Шешесі де ұзын.	His mother is also tall.
	Плюс,	Plus..
	Плюс минус деп.	Plus, minus, they would say.
	@@@@	
SPK0014	Міне,	Here, look, the kelin is coming.
	келін келе жатыр.	
SPK3011	Көре бер ¬Нұрғия.	Nurgiya, you keep watching, I am gonna go lie down.
	Мен жатамын.	
	Шаршадым уже.	I am tired already.
	Ойбай,	Oh my!
	алла,	Allah!
	(Hx)	
	Ойбай-ай ойбай.	Oh my oh my!
SPK3010	А:,	She just now made the bed so tidy, [and now you are lying there down!]..
	әдемілеп жинап қойып еді төсекті.	
	###.	
SPK3011	Ойбай енді жататын нәрсем менің.	Well this is a thing I use to lie down on.
SPK3010	Ой ой ой.	Oh really?
SPK3011	###	
SPK3010	жу—	
SPK3011	А—	
SPK3010	жудым деген ана не,	She said she washed that thing... the blanket.
	пледті.	
SPK3011	Е:,	Okay, Aset will sleep here today.
	¬Әсет жатады бүгін мына жерде.	
	Мен ана үйге барып жатамын.	I will go to the other room.
	Бүгін ұйқы жоқ.	Today I will not expect a good night's sleep.
SPK3010	Сен қашпа менен.	Do not run away from me!
	¬Әсетте нең бар.	Why do you involve Aset?
SPK3011	Мына ¬Әсет,	This Aset...
	мен неше күн болды ұйықтағаным жоқ.	I have not slept for many days now.
	¬Әсет жатсын енді бүгін.	Let Aset stay beside you tonight.
	#####.	
SPK3010	¬Әсет неше күн ұйықтаған жоқ.	Aset has not slept for many days.
	Сен,	But you have!
SPK3011	Ол демалды,	He had a rest.
SPK3010	ұйықтадың ғой.	
SPK3011	¬Әсет,	He celebrated.
SPK3010	Сен ұйықтадың ғой.	You did sleep!
SPK3011	тойлады,	
	тойлады кеше,	He celebrated yesterday.
	ұйықтады,	He has slept.
	жақсы бүгін.	Today he is good.
	Трезвый ¬Әсет.	He is sober.
SPK0014	Міне.	Here, look.
SPK3010	Мынау кім.	Who is this?
SPK0014	Солар?	Those people.
	А—	Those people...
	Кімдер.	
SPK3011	Сен өзі маған жабысып алдың ғой @.	You are so clung to me.
	Әбден.	For real.
SPK3010	Енді кімге жабысамын.	Who else is there for me to cling to?
SPK3011	Жуас сиыр жүндеуге жақсы.	A tame cow is good for grooming.
SPK3010	А.	Who else shall I cling to?
	Енді кімге жабысамын.	
SPK0014	Міне келініңіз апа.	Grandma, here, look, this is your kelin.
SPK3010	М:.	Mmm.
SPK3011	(Hx)	
	Иә.	Yes.
SPK3010	Ұсақ балаларды,	Once they used to gather all the kids [of the guests] in the cafiteria.
	толтырып алушы еді.	
	Столовыйда.	
SPK0014	¬Күнсұлу.	This is Kunsulu.
	¬Айсұлу апай.	This is aunt Aisulu.
SPK3010	¬Күнсұлу қайсы.	Which one of these is Kunsulu?
	Мынау көк жамылып тұрған?	Is she the one wearing blue?
SPK0014	Жоға,	No, it is not her.
	ол емес.	
	Ол басқа жақ.	This is a different side.
	Әне тұр екен.	Oh there she is.
	Кетіп қалды.	She walked away.
	Кадрда жоқ.	She is out of the frame.
SPK3010	Мынау кім,	Who is this... the person speaking?
	сөйлеп тұрған.	
SPK3011	(Hx)	
SPK0014	Неке,	A person who does that thing... performs weddings...
	некені,	
	немене істейтін.	
SPK3010	Е:,	Oh yes.
	иә.	
SPK3011	(Hx)	
	¬Алима,	There is Alima and Sakosh in the wedding apparently.
	¬Сәкөш жүр дейді.	
	¬Сәкөш.	Sakosh.
	(Hx)	
SPK3010	Сразу,	Oh I see.. they got engaged right at the wedding party.
	некеге отырған екен ғой.	
SPK0014	Мхм.	Mhm.
SPK3011	Некеге отырып па сразу.	Did they get engaged right there?
SPK0014	Міне,	Here it is...
SPK3010	Иә,	Yes, they are getting engaged.
SPK0014	көріп жатырмыз ғой.	we are watching them do that..
SPK3010	отырып жатыр.	
SPK0014	Міне жазып жатыр ¬Қайрат.	You see... Kairat is signing off.
	Қолдарын қойып жатыр ата.	Grandad, they are signing the paper.
SPK3011	А.	Come again?
	CLEARS_THROAT	
	Е:.	Ah I see.
	Сразу ресторанда істейді екен ғой.	So they do the engagement right at the restraurant.
SPK3010	Бәрі сол жерде деді ғой енді.	Well they said they did everything there, didn't you know.
SPK3011	Ойбай-а:й.	Oh my, just look...
	Көйлегі де жер сипайды екен ғой.	Her dress is touching the floor!
	Е,	Oh, so it is this person who is engaging them.
	мына кісі екен ғой отырғызып жатқан.	
SPK3010	Иә.	Yes.
SPK0014	Мхм.	Yes.
SPK3011	Городской акимат,	The city akimat or something like that...
	дейді ме немене дейді.	
SPK0014	Мына кісілер немене істеп жатыр енді.	What are these people doing now?
	Артынан,	Do they sign after them?
	артынан олар да қол қояды ма.	
SPK3011	А.	Come again?
SPK0014	Қа:зір тағы видео,	I will show you some more video now.
	Ойын ойнап жатыр екен.	Apparently they are playing a game.
SPK3011	Ресторан үлкен дейді ғой,	Oh my god, they said the restaurant is huge.
	құдай сақтасын.	
SPK3010	Мынау ма.	This?
SPK3011	Иә.	Yes.
	Бәрі алтын дейді енді,	They said everything was made of gold.
	позолоченный,	Gilded.
	##.	
	Ойбай-ай әкең,	Oh man, they said gilded plates...
	алтын жалатқан ыдыстар дейді ойба:й.	
	(Hx)	
	Иә ондай ресторанға ####.	To such a restaurant...
SPK3010	Ана ### барды ма,	Did ### go there? The one who ###
	ана ### жүрген.	
SPK0014	Білмеймін апа.	Grandma, I do not know.
SPK3011	###,	
	Ресторанды көргенде,	They were stunned when they saw the restaurant apparently.
	шалқасынан түсіп- түсіпті ғой,	
	##,	
	@@	
	Анау вообще,	Actually this...
	мына ресторанды,	They say this is the restaurant where mega powerful people usually go.
	ылғи жойқындар отыратын ресторан дейді ғой,	
	министрлер.	Ministers.
SPK3010	М:.	Oh I see.
	¬Арман,	Oh, so Arman also came to the wedding, I see!
	келіпті ғой тойға.	
SPK3011	Иә ¬Арман келіпті дейді.	Yes, apparently he did.
	¬Арман,	Arman is the one in Oskemen, you know.
	Өскемендегісі ғой.	
SPK3010	Иә?	Yes, that's what I meant.
SPK3011	Е:.	
	Ол ###,	But Zangar did not go... the one in the village.
	¬Заңғары бармапты ғой,	
	ауылдың.	
	Өй ¬Арман үйленгенде,	If I remember correctly, when Arman got married Kairat went to his wedding as a groomsman, right?
	¬Қайрат,	
	күйеу жігіт болып,	
	барды ғой деймін иә?	
SPK3010	Иә.	Yes.
SPK3011	Иә.	Yes.
	COUGHS	
SPK0014	М:	
	Ой,	Oh no, this one is badly visible.
	мынау дұрыс көрінбейді.	
	Міне,	Here, look, the kelin is coming down.
	келін түсіп жатыр.	
SPK3010	Шашуды шашыпты ғой.	I see they did the shashu.
	Анау мамаң бір жағы иә.	On one side of the kelin is your mother, right?
	Бергі жағындағы кім.	Who is the person close by?
SPK0014	Мама мынау ¬Бәйтөк,	This is mom, and this is apparently Baitok's kelin.
	¬Бәйтөктің,	
	немене дейді,	
SPK3011	Келіні.	Baitok's kelin.
SPK0014	Келіні дейді.	
SPK3010	М:.	Ah I see.
SPK3011	Әлі киносын көреміз,	We will watch the film, if you are not getting it.
	түсінбесең.	
SPK3010	Бәсе,	Oh, I was thinking who her forehead got wider... turns out she is Baitok's kelin.
	шекесі не ғып,	
	кеңіп кетті десем.	
	¬Бәйтөктің келіні екен ғой ол.	
SPK3011	Мынау кім сөйлеп жатыр.	Who is speaking now?
SPK0014	М.	Come again?
SPK3011	Тост сөйлеп жатыр ма.	Are they giving toasts?
SPK0014	Тамада.	This is the tamada.
SPK3011	А:.	Oh I see.
SPK0014	Ана бет ашатын жігітті,	They are calling that guy who will 'open the kelin's face.'
	ортаға шақырып жатыр.	
SPK3011	А:.	Oh I see.
	Бас ауырады.	My head hurts.
	Бас ауырады.	My head hurts.
SPK3010	(Hx)	
