speaker	span	translation
SPK3002	Такс професии,	"Alright... ""Art-related professions."""
	искусства.	
	Жетісі,	It says here that this topic is covered on the seventh and on the eighth (of some month).
	сегізі дейді.	
SPK3001	CLEARS_THROAT	
	Әй,	Hey, daughter, what are you up to?
	балам?	
	Немене істеп жатырсың.	
	А.	Hey?
SPK3002	Жа:й.	Nothing important.
SPK3001	Бір жұм–,	Work...
	бастайық енді жұмысты.	Let's start working now.
	Ойбай.	Oh God.
	Мына,	Let me put these away.
	нелерді қойып қояйын.	
	####	
SPK3002	Зарядкаң істеп жүр ме?	Is your charger working fine these days?
SPK3001	Мхм.	Yes.
SPK3002	Если ананың басы үзіліп қалып,	If the head of your charger gets torn off or something, and stops working for any reason, remember that we have another identical one back at home.
	бірнәрсе болып істемей қалса,	
	андағындай үйде бас бар.	
	Ну этот анандай,	I mean that cable thingy.
	шнур.	
SPK3001	Жарайды.	Okay.
SPK3002	###	
	###	
	Спасатели всегда:,	"""Rescuers always..."""
	мынасын тоже бүйтіп салып,	I also put this one like this (in ###).
	қойдым ###.	
	Следующий,	"Next is ""We create a holiday."""
	создаем праздник дейді.	
SPK3001	BURPS	
	Қалай болды сонда.	So, what did we end up with here?
	Болды иә андағы?	Is this one over?
	Төртінші сынып.	The fourth grade.
SPK3002	Мхм.	Yes.
SPK3001	Аха.	Correct.
	Продиктовать.	"""To dictate."""
	##	Can you please take a look at the ## that Aliya wrote?
	Жаңағы,	
	жаңағы,	
	¬Алия жазған,	
	### көре салшы.	
SPK3002	###	
	###	
SPK3001	Иә.	Okay.
SPK3002	###	
	###	
SPK3001	CLEARS_THROAT	
SPK3002	Он бес-ақ сағат алынып тұр.	There are only fifteen lessons recorded.
	Тоже не то.	Something is wrong here too.
SPK3001	Мхм.	Yes.
	Жарайды.	Okay.
SPK3002	####	
	####	
SPK3001	Мхм.	Okay.
	Одан кейін,	She says she will attend to it later tomorrow.
	көремін дейді.	
SPK3002	Мхм.	Okay.
SPK3001	Ертең көремін дейді.	
SPK3002	Такс,	So, Grade 4 is done, and now we are moving over to Grade 6, right?
	четвертый класс кетті,	
	енді шестой класс иә?	
SPK3001	Мхм.	Yes.
SPK3002	Бли:н,	Damn.
	(H) неге класстарың @көп @өзі @@@	God, why do you have so many classes?
SPK3001	Он сегіз сағат.	Eighteen hours.
SPK3002	Мхм.	Yes.
SPK3001	Орыс тілі.	Russian language.
SPK3002	Мхм.	Yes.
	Алтыншы классың,	So are we doing it for the entire class of Grade 6?
	вся группа ма.	
	Весь класс па.	
SPK3001	Иә весь класс.	Yes, the entire class.
SPK3002	Количество часов,	For the number of hours...was it two hundred?
	жүз екі ме еді.	
SPK3001	Мхм.	Yes.
	Үш сағаттан.	Three hours each.
	CLEARS_THROAT	
SPK3002	Мынаның ішінде алты бар екен.	This one luckily has Grade 6 in it.
	Как раз.	
	Пятый.	Grade 5.
	Вот шестой.	Here is Grade 6.
	Слово дело великое дейді.	"So, this topic is called ""A word is a great deed""."
	Ойбай.	Oh no.
	Міне екен ғой.	It is here apparently.
SPK3001	Оған не керек.	What about it?
	Е: соны,	Oh this one, I see.
	###,	
	CLEARS_THROAT	
SPK3002	Ой мам я же–	God, mom, I know what I am doing!
	я же знаю что делаю.	
SPK3001	Жарайды.	Okay. As long as you know what you are doing.
	Білсең болды.	
SPK3002	@@@@	
SPK3001	Слово дело великое.	"""A word is a great deed."""
	Ал енді,	And now, add it.
	қос енді.	
	CLEARS_THROAT	
	Сенің де көзің таусылады.	Your eyes get tired. Mine also get tired.
	Менің де көзім таусылады.	
	Енді қайтемін,	There is no other way to deal with this.
	кіти шыдашы,	Just hang on there a little.
