speaker	span	translation
SPK7003	(Hx)	
	көп пе	is it a lot? what did you open (pages opened)
	ашқаның	
SPK7002	көп емес	not that much
	менің қараған затымды ашып тұрған	it does not open the pages which I looked at before
	жоқ	
	басқа бір нәрсені ашып тұр	it opens something else
	а:	a
	иә иә	
	таңдағаным көп	I picked up a lot of things
	мен мына	I thought you were asking about which things I am looking at right now
	дәл қазір қарап отырғанымды сұрап отыр ғой десем	
SPK7003	(Hx)	
	(H)	
	(Hx)	
SPK7001	аштың ба	did you open?
SPK7002	аштым	I opened
SPK7001	мынау интересное	this one seems interesting
	да	isn't it?
SPK7002	жоқ осы ғой менің айтып отырғаным	no, THIS is the one I am talking about
SPK7001	тоқсан доллар	ninety dollars
	мынау да ничего так	this one seems interesting too
SPK7002	мынаның майкасы әдемі	this one's T-shirt is good
	екен	
SPK7001	ы:м	yes
	и жеңі де	and look at sleeves too
	қара	
SPK7002	м:	yes
SPK7001	күшті иә	it is good, isn't it?
SPK7002	ыхым	yes
SPK7001	ертең мектепке нешеде барасыңдар	what time will you go to school tomorrow?
	он бір жарым дедің бе	did you say that at 11:30?
SPK7002	он бір деді	they said that at 11:00
SPK7001	бастайды	it will begin?
	уже	that early?
SPK7002	иә	yes
SPK7001	значит он жарым-	it means that at 10:30-
SPK7002	он жарымнан кете-	after 10:30-
	иә	
	сол он жарымда бара берсек	we can come there at 10:30
	болады	
	мынау емес па?	isn't it it?
	өткенде таңдағанымыз	the one we chose last time
	жоқ деген	
	жоқ	no
	басқа ма?	or it was another one?
SPK7001	басқа сияқты	I guess it was another one?
	мынау сары ғой	this is one is yellow, you know
SPK7002	сенің де қарағаның сары	the one you picked was yellow too
	бірақ басқа фирма сияқты	but I guess it was from another brand
SPK7001	ол сары	it was yellow
	басқа иә	Another brand, yes
SPK7002	қай фирма екенін	I cannot remember which brand was it from
	есіме түспей тұрғанын қарасаңшы	
SPK7001	Хилфигер	Tommy Hilfiger
SPK7002	Хилфигер ме еді?	Was it Tommy Hilfiger?
SPK7001	ы:м	yes
	полоска	strip
SPK7002	мынау ала бажақ сияқты	this one seems too much
SPK7001	ау	yes?/sorry?/what?
SPK7002	ала бажақ сияқты деймін	I say it seems too much
	много много	there are a lot of heaps, you know
	нагромождений да	
	мынау ғой	It is this one, the yesterday one
	кешегі	
SPK7001	ы:м	yes
	менікі	mine
SPK7002	енді ананың	I wanted to look at the clothes which s/he was wearing
	кімнің үстіндегісін қарайын деп едім	
SPK7001	кімнің	who?
SPK7002	¬Динаның өзінің	The clothes which Dina was wearing
	киіп тұрғаны бар ғой	
SPK7001	а:	understood
SPK7002	мынау мынау	this one, this one seems the same
	ұқсас	
	бірақ басқа мынау	but it is another one
	қара	
SPK7001	ы:м	yes
SPK7002	ана	it looks like a newspaper page, right?
	газетаның беті сияқты	
	болып тұр да	
SPK7001	мына футболка жаңағы	this T-shirt seems alike to the previous shirt
	рубашканікіндей	
	смотри	
SPK7002	мынау ма?	this one?
SPK7001	иә	yes
SPK7002	иә	
SPK7001	мынау не	what is it?
	Франция	France
	иә	yes?
SPK7002	иә	yes
SPK7001	а:	understood
	әдемі	beautiful
SPK7002	енді	well
	тұр ғой міне	it is here, here
SPK7001	(H)	
	Париж	Paris
	Пағи:	Paris
	#	
SPK7002	мынау ғой	this one
	міне міне	here, here
	помоему да	I think yes
	киіп тұрған	the wearing one
SPK7001	а:	understood
	да да да	yes, yes, yes
SPK7002	осындай	this one
SPK7001	ыхы	yes
	көреміз	we will see
	Парижді	Paris
SPK7002	осындай алсаңшы	buy this one, please
SPK7001	мынандай ма	this one
SPK7002	ы	yes
SPK7001	не хочу	I don't want it
SPK7002	күшті болып жүресің сосын	You will look stunning, then
	@@@@@	
SPK7001	рубашка болса	If it is shirt, isn't it better to be blank?
	анандай	
	пустой болғаны	
	әдемірек	
	емес пе	isn't it?
	мы а-	a-, I meant plain
	однотонный	
	дегенім ғой	
SPK7002	менің анандайдан	I get eye fatigue from this
	көзім шаршайды	
	когда много много	when there are a lot of prints
	печать болғанда	
SPK7001	рубашка базовый болғаны жақсы сияқты	It is better for shirt to be the basic
SPK7002	мына ең біріншісі ұнайды	Actually I like this first one
	негізі	
	ақ па мынау?	Is it white?
SPK7001	ыхым	yes
SPK7002	и мынаның тағы бір беті бар	This one also has another page
SPK7001	(H)	
SPK7002	біз өткенде	We looked at few pages only recently
SPK7001	(Hx)	
SPK7002	бір екеуін көрдік те	
	сонымен жауап тастадық ау деймін	and closed the web-site
	(H)	
	(Hx)	
	екеу ма не	is it only two?
	бар жоғы?	
SPK7001	мынау не очень	This one is not good, the two of them
	екеуі де	
	@@	
SPK7002	иә	yes
	сосын ғой	that is why
	соңына қалып қойған десеңші	it was left for the last
SPK7001	солай шығар	that is why
SPK7002	last дейді	it says it is last
	мә мынаны қара	wow, look at this
	он төрт	fourteen
	он бес	
SPK7001	а:	understood
	алайық	
	дейсің	you say let's buy it, but you didn't select it
	баспаған сияқтысың	
	а жоқ	wait, no
SPK7002	жоқ бастым	no, I selected it
SPK7001	мынау	this one
	иә	
	әдемі	yes
	біріншісі	first one is good
SPK7002	мынадан да гөрі	than this one
	мынау тек алдында	this (print) is in the front
	артында	I guess there is nothing in the behind
	дым жоқ ау деймін	
	көрсетпейді	it does not allow me to see it
	а:	
	жоқ	a
	артында дым жоқ	there is nothing in the behind
SPK7001	не деп тұр	what it says?
	дым жоқ	there is nothing
SPK7002	мынаны қара	look at this
	мынаны қара	look at this
SPK7001	неге	why?
SPK7002	білмеймін	I don't know
	может ана	maybe because of the fabric quality
	качество ткани	
	бірдеңе шығар	something like that
	разница беріп тұрған	which gave the difference (in prices)
SPK7001	может быть	maybe
SPK7002	ананы түртіп жібер	push that one
	қазір даусы кетіп қалады ана жаққа	its voice will go there now
	хо:р	choir
	естіліп қаласың	you will be heard there now
	ана жаққа қазір	
SPK7003	э	yes?
SPK7002	естіліп қаласың	you will be heard
SPK7003	түртпе	don't push
SPK7002	э:	hey
	етпе	
	а:	understood
	жақсы	okay
	көрініп жатыр ма саған?	do you see it?
SPK7003	иә	yes
SPK7002	а:	understood
	жақсы	
	қарап жат	okay
	онда	look at it
	қалай	how
	мынаны қалай көресің?	what do you about it?
SPK7001	ұнайды	I like it
	ұнайды	
	күшті	good
SPK7002	ұнайды	like it
SPK7001	@@@@	
SPK7002	бізбен	we will make to pay the person who is at store with us
	дүкен аралап жүрген	
	адамның мойнына	
	қиып саламыз да	
	оплатасын	
	банковская карточкасына	with his/her credit card
SPK7003	(H)	
	(Hx)	
SPK7001	@@@@@@	
SPK7002	@@@@@@	
	(Hx)	
	күрсіндің ғой что то	you sighed
	@@@@@	
	а:?	right?
	@@@	
SPK7003	Каспиден кетпей ме	Won't we pay from Kaspi credit card?
