speaker	span	translation
SPK0032	Қандай суық иә?	It is so cold, isn't it?
SPK0031	Холодильникте қойып қойыпты.	They apparently put it into the fridge.
SPK0032	Еее.	Oh, I see.
SPK0031	DRINKS_BEVERAGE	
SPK0032	Бір пұшықай туыпты.	She gave brith to a baby with a pug nose.
SPK0031	Бір екі.	One two...
	Екі ұлы бар екен,	He has got two sons, oh my god.
	құдай-а:у.	
	Бұттары жалаңаш.	They are playing in the sand with their bare bottom.
	Топырақта ойнап жүр.	
	Құдай-ау баяғ—	Oh my god! In the past...
SPK0032	Жалаң аяқ.	With bare feet.
SPK0031	баяғыда ##.	In the past...
	Дұрыс әкри #—	You know, this is actually right!
SPK0032	Иә?	Yes.
	Аяқ-киім кимейді дейді.	They say these kids do no wear shoes.
SPK0031	Дұрыс екен.	It is apparently right (to let kids walk barefoot and with bare bottoms).
	Оны көрдім.	I saw him. He looks just like Zhanat, very very dark-skinned.
	Әшейін ¬Жанат баяғы.	
SPK0032	¬Жанат	Just like Zhanat.
	Тіпті,	Even their noses are just like that of Zhanat's.
SPK0031	@ @қап-қара @ қап-қара.	
SPK0032	танаулары әшейін ¬Жанат.	
SPK0031	####.	
	Әгі,	At some point, his daughter came.
	қыз баласы келді бір уақта.	
	Бір келді апа,	"She came once and said: ""Grandma..."""
	мынандай бір екі қолында екі:,	In her hands, she had this thing like this.
	несі бар.	
	Мороженое дейді.	It was ice-cream.
	Әкеп апасына берді.	She brought one ice-cream and gave it to her grandmother.
	Бір морожыный.	She had another for herself in her hands.
	Бір морожын өз қолында.	
	¬Жания жеп қойды әгіні отырып.	Zhaniya just ate it all up while sitting.
	Морожыный.	The ice-cream.
	Мен айтамын тамағың #### мұздай.	"I say, ""Your throat...####... cold like ice""."
SPK0032	Же:йді.	Oh, so she eats ice-cream?
	Жейді екен ғой иә?	
SPK0031	Мен жеймін дейді.	She says she eats.
	Содан кейін бір уақта,	Then at some point she brought a tissue like this.
	бір мынандай шыт алып келді.	
	Жаңа.	It was a new one.
	Міне апа деді.	"""Here it is, grandma"", said she."
	Мынау немене деп бүйтіп қарады.	I looked at it wondering what it was.
	Шыт деді.	She said it was a tissue.
	Алдында морожное берді,	She first gave her ice-cream, and then she brought a tissue.
	одан бір шыт әкеп берді.	
	Шәй ішіп отырғанда айтады,	"When we were having tea, she, the daughter-in-law, said: ""Did you take the tissue?"""
	әгі шытты алдың ба дейді келіні,	
	иә берді.	"""Yes, she gave it to me."""
	Ана ескі шытты жұлып алды.	She pulled that old tissue away from her hands.
	Боқтыққа тастай—	"She said, ""I will throw it away...that thing in Zhaniya's hands... into the trash....into that thing... """
	Әгі неге тастаймын деді.	
	¬Жанияның қолындағы.	
SPK0032	##.	
SPK0031	##.	That thing with which she (Zhaniya) was using to wipe, she (the daughter-in-law) took this thing from her.
	Әгі мына,	
	сүртіп отырған шытын алды.	
	Неге тастайын деді.	To throw it into that thing, she said.
SPK0032	Кіти төртбұрыш шыт?	Was it a small rectangle-shaped tissue?
SPK0031	Иә у носовой плоток.	Yes, a tissue for nose.
