speaker	span	translation
SPK5001	Құттай ғана құйшы.	
	Кішкентай.	
SPK5002	Құрттай.	
SPK5001	¬Алтынбек,	
	өзі сұрады ма?	
SPK5002	Ақша ма?	
SPK5001	Иә.	
	Әлде өзің,	
	салып жібердің бе.	
SPK5002	Жоқ.	
	Өзім ғой,	
	салып жіберген.	
	Салып жіберіп едім,	
	мама,	
	ақша салып жібердің.	
SPK5001	Аша қойшы,	
	до конца.	
SPK5002	Жазып жіберіпті.	
	Мама,	
	ақша салып жібердің ғой,	
	неге деп.	
SPK5001	Керек емес дей ме?	
SPK5002	Сосын айтып едім ғой,	
	ерте–	
	бүгін ертеңге,	
	ақша керек.	
	Бассейнге барасың,	
SPK5001	Ашып қойcаңшы,	
	до конца.	
SPK5002	Кафе болады.	
	Не болады деп едім,	
	а:,	
	жақсы.	
	Рақмет деп жазып жіберіпті.	
	Бірақ,	
	пикниктің,	
	ақшасын төлеп қойдым.	
	Төледім.	
	Жинады ғой ##.	
SPK5001	Екі күн пикник пе?	
SPK5002	М:.	
	Ата-аналар,	
	ағайлар,	
	бәрі.	
	Оқушылар.	
SPK5001	Ата ағайлары да бар ма?	
SPK5002	Иә.	
	¬Мейірхан ағайы,	
	ата-аналар,	
	аға,	
	әкелері,	
	ағалары бар.	
	Ата-аналары,	
	мамалары.	
SPK5003	Мә: кәдімгідей,	
	семейный болайын деп жатыр,	
	екен ғой да?	
SPK5002	М:.	
	Соған,	
	маған да,	
	алыстағылар,	
	келіңіз,	
	келіңіз,	
	деп ## ата аналар жазып жіберіпті.	
	Қайдан мен,	
	Біркөлік жақта,	
	тауға барады,	
	бассейн,	
	зал.	
SPK5001	¬Алтынбек барды ғой.	
	Біледі ғой,	
	Біркөлікті.	
SPK5002	Жоқ,	
	үш күндік,	
	турлар бар екен.	
	Үш күн жататын,	
	демалыс,	
	орындары.	
SPK5003	А ол сондай ғой,	
	екі күн ғой бәрі.	
SPK5002	Иә.	
	Бір күн,	
	бүгін таңертең,	
	барады,	
	кешке келеді,	
	олар.	
SPK5003	Ммм.	
SPK5002	Бұйырса.	
	¬Жарас екеуі,	
	құшақтасып ұйықтап жатыр екен.	
	Мамасы суретке,	
	түсіріп жіберіпті.	
SPK5003	Қима:йды ғой бір бірін.	
SPK5002	Жазып жіберіпті,	
	менің балама,	
	қиын болатын болды ау деп.	
	Ұйықтап жатыр,	
	қолдарын бүйтіп ұстап алыпты	
	екеуі.	
	Барлық,	
	ата аналар жазып жатыр.	
	Біздің спортсмен,	
	біздің шахматист,	
	біздің умник деп.	
SPK5003	@@@	
SPK5002	Сынып,	
	сыныптың спортсмені.	
	Бірақ,	
	жақсы баламыз,	
	кетіп бара жатыр.	
	Кетіп жатыр деп.	
	## айтты,	
	өзіңізге,	
	ыңғайлы болса,	
	болды ғой деп.	
	¬Алтош,	
	әлі сенер,	
	сенбейін деп жүрген болып тұр ғой.	
	Таңертең жазып жіберіпті соны.	
	Мама мен,	
	точно ауыстым ба сонымен деп.	
	@@@@	
	Жаным ау,	
	@@	
SPK5003	Сенбей жүр ғой әлі.	
SPK5002	Мм?	
SPK5003	Сенбей жүр ғой.	
SPK5002	Мм.	
	Же мә.	
	Дәмдісін,	
	жеп отырмын.	
SPK5003	Наушник бар ма?	
	Сізде.	
	Сіздің наушнигіңізді алайыншы.	
	Мен өзімдікін тастап кетіппін.	
	Білмеймін қайда екенін.	
	Жоғалтып алдым ба:.	
SPK5002	Бар ғой наушник.	
	Көп.	
	Мен ек- екіде	
	зубнойға барамын.	
	Қазір бір жарымда шығып кетемін.	
SPK5003	Шығып кетің.	
	Өзім жинаймын ғой мына жақты.	
SPK5002	Үсер шақырып жатыр.	
	Жақсы болды маған.	
SPK5003	Жақсы болды.	
	Орын босап па екен?	
	Жақсы болды ғой (TSK).	
SPK5002	Салдыртып алайын,	
	бүгін.	
SPK5003	Иә:,	
	әйтпесе ауыртады.	
SPK5002	Екінші,	
	ішін жөндеп,	
	##	
SPK5003	Тісіңізді жуып барыңыз.	
SPK5002	М?	
