speaker	span	translation
SPK7002	құрамы қандай	what is the composition?
SPK7003	(Hx)	(Hx)
	эластан	elastane
SPK7002	неше эластаны	how much of elastane does it have?
SPK7003	жазды ғой	it's written
	cotton эластан дейді	it says elastane cotton
SPK7002	енді белгілі ғой	well, it is obvious that elastane is added
	эластан қосылатыны	
SPK7003	иә иә	yes, yes
	бірақ енді мен білмеймін	but I don't know
SPK7002	қанша қосылған	how much of it was added?
SPK7003	ж- несі	that, the composition is not written, ¬Aizhan
	қоспасы жазылып тұрған жоқ	
	¬Айжан	
	пайыз бойынша жазылып тұрған жоқ	it was not written by percentages
SPK7002	пайызы жоқ па	is there no percentage written?
SPK7003	пайыз жоқ	yes, there is no percentage written
	иә	
SPK7002	бірақ	but, you know, Hilfiger
	не ғой	
	хилфигер	
	ыы	that
SPK7003	көп қоспайды ма	it does not add a lot?
SPK7002	мен	
	иә	yes, it does not add a lot
	көп қоспайды	
	олардікі қанша дегенмен	their clothes have a lot of cotton though
	хлопогы көбірек болады	
SPK7003	мақтасы мынау	their cotton seems not that bad
SPK7002	жаңағы	that one, yes, it does not have a lot of polyether and synthetics
SPK7003	былай жаман емес	
SPK7002	иә:	
SPK7003	сияқты	
SPK7002	полиэстер	
	синтетика көп болмайды	
	соны	I am thinking about it, you know
	ойлап отырмын да	
	бұл он алайын дейді	she is going to buy the size 10
	он емес	what about buying the size 12, not 10?
SPK7003	он екі ме	the size 12?
SPK7002	он екі алға-	
	алсақ қайтеді	
	себебі мыналар	because these designs are fitted for a bit
	кішкене	
	модельдері приталенный болады	
SPK7003	иә иә	yes, yes
	он екі алу керек сияқты	it seems that we have to buy the size 12
SPK7002	он екі алсақ	if we buy the size 12, it is more loose, even when she would do that
	кішкене кеңдеу	
	ана не еткенде де	
SPK7003	иә	yes
SPK7002	бірақ	but would it not be very big?
	слишком үлкен	
	болып кетпес пе екен	
	қалай ойлайсың	how do you think?
SPK7003	¬Айжан	¬Aizhan, it is coverall, yes, you know
	ол деген	
	иә:	
	не ғой	
	coverall	
	coverall болған соң	due to it is coverall, it is better for the clothes to be bigger, yes
SPK7002	ол не деген	what does it mean?
SPK7003	ол деген	
	иә иә	
	ол деген	
	кең болғаны да жақсы	
SPK7002	жоқ	no
	coverall деген	what is coverall?
	не зат ол	
SPK7003	комбинезон	coverall
SPK7002	а:	understood
	оны айта бермейсің бе	you could say it as coverall
SPK7003	ағылшын	englis, in english it is coverall
	ағылшын тілінде coverall дейді ғой мынаны	
SPK7002	комбинезон деп	
SPK7003	coverall деген жазуы бар	it is written that it is coverall
SPK7002	комбинезон деп	why you did not call it as coverall?
	айтпайсың ба	
	басқа бірдеңелерді айтып	and not saying other things and making me confused
	басымды қатырмай-ақ	
	(H)	(H)
	(Hx)	(Hx)
	ұзындығын қарашы	look at its that, height
	несін	
SPK7003	ұзындығын болғанда	the height, you can make it shorter. No, no, look at this, here
	оны қысқартуға болады ғой астын	
SPK7002	жа-	No, the recent one
	жал-	
	жо:қ	
SPK7003	жо- жоқ	
SPK7002	жақ	
SPK7003	мынаны қара	
	міне	
SPK7002	ол қысқартылған түрі ғой	it is the shortened version, you know
	сол үшін мен саған айтамын	that is why I am telling you to look at its height
	ұзындығын қара деймін	
	ұзындығын қара	look at its height
	себебі	because our daughter's height is short
	біздің қыздың бойы	
	кішкентай ғой	
SPK7003	жиырма жеті	twenty seven
	жиырма жетіні қазір көрсе- көбейту керекпіз	we have to multiply twenty seven now
	екі бүтін	two
	жүзден елу төрт	fifty four of hundreds
SPK7002	иә	yes
SPK7003	қазір қарайын	let me look at this now
SPK7002	көбейтші	multiply it, please
SPK7003	қазір	now
	так	ok, twenty seven and, twenty seven multiplying two and fifty four of hundreds, it is sixty eight and a half
	жиырма жеті да	
	жиырма жеті	
	көбейту	
	екі бүтін	
	жүзден елу тө:рт	
	алпыс сегіз жарым	
SPK7002	алпыс сегіз жарым	sixty eight and a half is when looking down from waist?
	белден төмен қарай ма	
SPK7003	иә иә	yes, yes
SPK7002	жетпіс пе	is it seventy?
	жетпіс деген	seventy seems to be like that of this
	мынандайдың	
	мынандай	
	болатын шығар енді	
	мына жерге дейін	what is yours? Was it eighty or ninety?
	неше	
	сексен бе еді	
	тоқсан ба еді	
	сенікі	
SPK7003	иә	yes
	жоқ мына	no, on its picture itself, ¬Aizhan
	суретінде де өзі	
SPK7002	сексен бе	is it eighty?
SPK7003	¬Айжан	
SPK7002	тоқсан ба	is it ninety?
SPK7003	суретінде де	even on its picture, it is not reaching the bottom of the legs
	аяғына дейін келіп тұрған жоқ қой міне	
SPK7002	аяғы болғанда	I don't mean reaching the bottom of legs, here it is pictured as overshoe
	ана	
	по щиколотку	
	болып тұр ғой	
SPK7003	иә	yes
SPK7002	а: жаңағы	is the model's height not written here?
	рост модели	
	деген жоқ па	
	ана жерде	
	қарашы	look there, please, it should be here
	болатын еді	
	негізі	
	киіп тұрған адамның	they also should write the height of the model
	бойын да жазатын еді ғой	
	сондай нәрсе	is there no such thing here?
	жоқ па екен	
SPK7003	мына жерде	there is no such notes here
	ы:	
	ондай жоқ	
	жазу	
	а:	a, eleven, eleven. No, not eleven, not eleven
	он бір	
	он бір	
SPK7002	не зат	what eleven?
	он бір	
SPK7003	жоқ	
	он бір емес ол	
	он бір емес	
SPK7002	он бір жас па	is it age of eleven?
	он бір не зат	what eleven
	он бір не зат	what eleven?
SPK7003	а мынау	a, this is that, that
	не ғой мына жер	
	мына несі	
SPK7002	а	a
	үсті ме	the top?
SPK7003	иә иә	yes, yes
	үсті	
	иә иә	yes, yes
SPK7002	жо:қ	no
SPK7003	жоқ жоқ	no, no
SPK7002	рост модели деймін	I am talking about the height of the model
SPK7003	ондай не жоқ	there is no such thing
	ондай не жоқ	there is no such thing
SPK7002	мейлің онда	whatever
	алып қала берші	save it
SPK7003	он екіні ме	the size 12?
SPK7002	иә	yes
	он екіні алып қал	save the size 12
SPK7003	мынау	this is petite high #
	petite high #	
SPK7002	жоқ	no, this is that, this is Calvin Klein
	мынау не ғой	
	Келвин Кляйн ғой	
SPK7003	ол	it
SPK7002	и	and, a, is it Donna Karan?
	а	
	Донна Каран ба мынау	
SPK7003	иә	yes, it is Donna Karan
	Донна каран	
	жақсы мынау	it is good
SPK7002	Жоқ ана	No, there also was a shortened version
	SOUND_VIBRATION	
	қысқалау түрі болды ғой	
SPK7003	(H)	(H) a, that clothes's page was not opened
	а ол	
	ол ашылмай қалды	
SPK7002	неге ашылмай қалды	why it did not opened?
SPK7003	оны қайтіп іздеу керекпіз	we have look for it again
SPK7002	негізі сол жақсы маған	this is better for me, in theory
	ұнағаны сол еді	the one I liked was this one, to be honest
	негізі	
	тонау	that one, is not it?
	сол емес пе	
	басқа ма	or the other one?
	қайсы	which one? Open and show me, please
	көрсетші аш та соны	
	жоқ жоқ	no, no
	ана	
	қызылдың қасындағы	the one near to the red one
	басқа ма	is it the another one?
SPK7003	мынау ма	is it the this one?
	басқа мынау	is it the another one?
SPK7002	басқа ма	is it the another one?
	негізі сол жақсы еді	in theory, this one is better
	бірінші соны алу керек еді	we had to buy this one first, in theory
	негізі	
	себебі классический	because I saved the classique grey one
	серыйын кеше	
	белгілеп қойып едім ғой мен	
SPK7003	мына жерде көп	the basic ones are a lot here, there are a lot of customers
	основной міне	
	customerлар	
SPK7002	жоқ	no
	бізге көбі керек емес	we do not need 'a lot of'
SPK7003	көп	
SPK7002	бізге именно	we need precisely this design
	сол модель керек еді ғой маған	
SPK7003	қазір табармын	I would find now, let me finish looking these ones
	бөлек	
	мынаны қарап	
	бітірейін	
	қазір қарайын	let me look now
SPK7002	ашылмай қалды емес	it is not 'did not opened', you yourself closed the page of it
	өзің жауып тастаған болып тұрсың	
SPK7003	жоқ	no
	а:шылмайды қалды	it did not opened
	арасында ашылмай қалады	sometimes pages do not open
	сосын бір	
	үш төрт күннен қайтып ашылады	then they open again after three-four days
	мына ішіндегі IPA	because this IPA, IP adress is Kazakhstan, they might block it
	IP адресі Қазақстан болғасын	
	олар блокировать етіп тастауы мүмкін	
