speaker	span	translation
SPK4010	Теңсіздікті	In many developed countries there are many problems with inequalities, that is why the programs that aim at mitigating them are being planned.
	жоятын программаларды	
	э ау	
	ойластырып жатыр	
	Себебі	
	бір	
	көптеген	
	дамып	
	жатқан	
	эм	
	елдер	
	Олар көптеген қиыншылықтарды көріп жүр	
	Осы бағытта	
	болашақта	In future, I want to make my own contribution.
	өзімнің	
	бір	
	үлесімді қосқым келеді	
	Осы	I wish fewer people died from hunger.
	э	
	азырақ адамдар	
	эм	
	аштықтан қайтыс болсын деп	
	Эм	Today many children suffer from curable diseases, but their countries lack vaccines or the health programs are not developed right.
	емделетін аурулардан қазір көптеген балалар эм	
	қатты зардап шегіп жатыр өйткені оларда бір вакцина жоқ	
	немесе олардың мемлекетінде	
	эм	
	осы	
	көмек беру	
	бағдарламалары	
	дұрыс дамымаған	
	сондықтан	That is why for the next two years I will study in the direction of Political Development.
	осы	
	болашақтағы екі жолды	
	эм политикалық девелопмент	
	осы даму саясаты бағытыны	
	бойынша	
	оқимын	
	Содан кейін	After that I am planning to work in such organizations.
	өзім бір	
	осындай	
	эм	
	организацияларда жұмыс істеймін деп э	
	Эм	
	ойлаймын	
	Бір	I like helping out people; that is why, in my opinion, this career path suits me well.
	адамдарға көмектесуді өте жақсы көремін сондықтан менің ойымша	
	осы бағыт	
	маған өте өте	
	эм	
	(TSK)	
	ту-	
	тура келеді деуге болады	
	Білмеймін сол	Don't know, considered different options, now I am considering foreign universities.
	өйт--	
	былай қарап	
	олай қарап	
	эм	
	таңдадым	
	Сонда бір	
	эм	
	шетелдегі университеттерді	
	эм	
	қарастырып жатырмын	
	Мен қазір	I will be taking IELTS in 2 weeks, so I have to prepare for it now. Besides, there is a motivational letter to be written.
	мен	
	екі аптадан кейін уже айелтс	
	тапсырамын соған дайындалу керек	
	Иә содан кейін	
	анау мотивационный письмоның	
	тоже	
	жазуды бастау керек	
	Бірақ менің басымда	But I have nothing in my head now: what to start with, which university I am interested in - it bothers me a lot.
	ноль	
	идея	
	Неден бастап	
	қалай	
	университетті қызықтырамын деген сұрақтар қазір @ көп @ менің @ басымда	
	Эм	But I have made initial steps. I have chosen the program and the direction, and now there is only documentation left.
	бірақ менің ойымша бірінші қадамдарды	
	жасадым	
	Осы	
	бағдарламаларды таңдадым	
	Эм	
	қандай бағытта	
	эм жүретінімді таңдадым енді бір мындай	
	Документтерді жинау процессі қалды маған	
	Сен де м э	What about your Master's? Did you choose a direction?
SPK4011	Мхм	Mhm.
SPK4010	магистратураға барасың ғой сен	
	Эм	
	бағытты таңдадың ба	
SPK4011	(TSK)	Mhm. Can I share my impressive plan first?
	Аха	
	қазір мен осы айтып бергенмін одан бұрын айтып тастайыншы керемет	
	эм	
	план	
	Керемет	
	impressive дейді ғой	
	Себебі	Not to get jinxed, but the majority do not like this question or haven't decided yet.
	ну тфай тфай эм	
	э	
	көзім тимесін	
	Просто	
	мм	
	(TSK)	
	көбісі	
	ну бұл сұрақты ұнатпайды или	
	әлі	
	таң-	
	өздері	
	шешпеді ##	
SPK4010	Мен осы сұрақты	"I want to discuss this question with everyone, with my friends, but they won't do it because it is stressful and I am thinking ""Why?"""
	әрбір адаммен	
	осы сұхбаттасқым келеді өйткені мен	
	достарыммен сөйлескенде	
	олар	
	стресс болады да оларда @@	
SPK4011	Иә @	Yes.
SPK4010	И қойшы--	
SPK4011	Депрессия	Depression.
	@@@@@	
SPK4010	Ол туралы сөйлемейікші деп айтады мен неге	They say 'Let's not talk about it' and I ask why?
	Бізге керек қой ол	We will need it in the future, won't we?
	болашақта келеді ғой @	
	Деп айта болады	
SPK4011	Иә иә	Yes, same. I wish you good luck with that.
	Тоже солай	
	Сол үшін	
	эм	
	мен саған тек қана сәттілік тілеймін	
	Мен	I know, I have read about village programs.
	ауыл бағдарламалары туралы білемін оқығанмын	
	Көбінесе ондай	"Mostly in those Telegram and Instagram groups, you know, the ones names like ""Opportunities."""
	мм	
	(TSK) телеграммда немесе инстаграммда отырасың ғой группалар болады ғой ондай	
SPK4010	иә иә	Yes yes
SPK4011	возможности	
	деген сияқты	
	Сонда көп көретінмін сондай	There I used to see many internships and volunteering opportunities from UNESCO and the UN.
	әртүрлі волонтерские программы	
SPK4010	Мхм	Mhm.
