speaker	span	translation
SPK3002	Всё енді жанды.	Done! Now it lit up.
	Енді қызыл жанды. (H)	Now the red color is showing.
SPK3001	Мхм.	Ok.
	Мхм.	Ok.
SPK3002	Ойбай. TAKES_A_SEAT	Oh no!
	Жиырма төрті?	Twenty-fourth.
SPK3001	Мхм.	Yes.
	MOVES_THE_CHAIR	
SPK3002	#####	
	Жиырма сегізі.	Twenty-eighth.
SPK3001	Мхм.	
SPK3002	Мына жерде плюс СОР-ы бар.	There is also an SAU here.
SPK3001	Мхм.	Okay.
SPK3002	Твой шаг в природу.	"""Your step into the nature."""
SPK3001	Екеуі бір сағаттық.	Both are one-hour lessons.
SPK3002	Мынау жиырма тоғызы,	This one is on twenty-nineth.
	жоқ,	
	бірікпейді.	No, these lessons don't merge.
SPK3001	Ммм.	Mmm.
	Хм.	
	Бірікпей ме?	They don't merge?
SPK3002	##	
SPK3001	Мхм.	Yes.
	Екі сағат бола ма.	Does it take two hours?
SPK3002	Мхм.	Yes.
	Мынау бірі.	This is on the first.
SPK3001	Аха.	Yes.
	Содан кейін қаншасы болады.	How many lessons are there after that?
SPK3002	STARTS_ERASING_SOMETHING_WITH_AN_ERASER	
SPK3001	CLEARS_THROAT	
SPK3002	Бірі.	First.
	Сосын,	Then fifth.
	бесі?	
	Зеленый мир,	"""Green World."""
	Зверев Ласточки.	"""Swallows"" by Zverev."
	Алтысы?	Sixth.
SPK3001	Сегізі.	Eighth.
SPK3002	Такс,	Hmm, eighth.
	сегізі.	
SPK3001	Он екісі.	Twelveth.
SPK3002	Кошка на дороге.	"""A cat on the road."""
	Он екісі.	Twelveth.
SPK3001	Он үші.	Thirteenth.
SPK3002	Белогрудка.	"""Belogrudka."""
SPK3001	Он үші.	Thirteenth.
SPK3002	Бір-ақ сағат па?	Is it an hour only?
SPK3001	Міне,	Look, here is thirteenth.
	он үші.	
	Иә.	Yes.
	Он үші.	Thirteenth.
	Мхм.	Yes.
SPK3002	Екеуі бірге он үші.	They two together are on thirteenth.
SPK3001	Мхм.	Yes.
SPK3002	Мынау уже,	This one already...
SPK3001	Он бесі.	Fifteenth.
SPK3002	Мынау,	
	екі сағат болады екен.	This one will take two hours apparently.
SPK3001	CLEARS_THROAT	
SPK3002	Екі сағат.	Two hours.
	Он бесі,	It says fifteenth and nineteenth, right?
	и,	
	он тоғызы деп тұр иә?	
SPK3001	Мхм.	
SPK3002	Одан кейін СОЧ.	And after that we have SATs.
SPK3001	CLEARS_THROAT	
SPK3002	Он бесі,	Fifteenth.
	он тоғыз.	Nineteen.
SPK3001	Мхм.	Yes.
SPK3002	Такс мына жақта СОЧ,	Well, there is no SAT here.
	жоқ.	
	DRAWS_A_LINE_ON_PAPER	
SPK3001	Мхм.	Yes.
SPK3002	Мынау да жоқ.	And there is none of this either.
SPK3001	Неге?	Why?
SPK3002	Енді—	Well...
	А жоқ мынау можно былай істей салғанға.	Oh, no, we can do it like this, making each an hour long, okay.
SPK3001	Иә.	Yes.
SPK3002	Бір-бір сағаттан деп,	
	жарайды.	
SPK3001	Иә.	Yes.
	Соны айтып тұрмын ғой.	That's what I am saying.
SPK3002	Енді астындағысын көрген жоқпын #	Well, I did not see what was written below.
	Он үші,	Thirteenth.
	он үшінен кейін мынау,	After thirteenth, this will take place on fifteenth.
	он бесі күні болады.	
	Мынау,	This one will take place on nineteenth.
	он,	
	тоғызы күні болады.	
SPK3001	Мхм.	Mhm.
SPK3002	Поэма,	A poem.
	Неразлучные,	"""Inseparable Swans."""
	лебеди?	
	Плюс СОР.	Plus a SAU.
SPK3001	СОЧ-ы несі.	Why SAT?
	СОЧ деген,	So, there cannot be a SAU, is that correct?
	болмай қалды ма сонда.	
SPK3002	Сенде мынада,	Here you don't have enough topics.
	тақырып жетпей қалды ғой.	
SPK3001	Вот әне:,	You see?
	әлде екі сағаттық па.	Or is it a two-hour one?
SPK3002	Сенде тақырып жоқ.	You don't have topics here.
	Мынада.	
	Мынада күн,	This one's got days and topics - all of them.
	тақырып бәрі бар.	
	Сенде мында тақырып жоқ	But this one has no topic.
	Сен мында бір тақырыпты,	Here you just took one topic and distributed it over every two days here.
	екі-екі күннен қойып тастағансың алып.	
SPK3001	Күн жетпей қалды ма.	So, am I short of days?
SPK3002	Күн бар.	There are enough days.
	Тақырып жоқ деймін.	I am saying there is not enough topics in this one of yours.
	Мынауыңда.	
SPK3001	Еее.	Oh.
	Тақырып тұр ғой міне.	Look, there are topics in here!
SPK3002	(TSK)	
	Мам ты понимаешь.	Mom, do you understand or not?
	Тақырып жоқ.	No topics.
	@Мынауыңдағы тақырып жетпейді	In this one of yours, there are not enough topics.
	(H) Мынаны сен,	You took this one and put it into the second term.
	мына жаққа,	
	екінші четвертьқа қоя беріпсің.	
	Мынау бірінші четвертьтің сабағы екен.	It is the lesson of the first term apparently.
SPK3001	Ее жарайды,	Nevermind, feel free to do it there.
	соған ете бер.	
	Екінші четверть деген,	It does not matter if it is the second term.
	не имеет значения.	
	Ете бер.	Feel free to do it.
	Ала бер.	Take it.
	Шимайлап сал да.	Erase it first.
	Иә.	Yes.
	Шимайлап сал да ала бер.	Erase it first, and then take it.
	Андағы нешінші болып еді.	When was that one?
	Он тоғыз?	Nineteenth?
SPK3002	Типа мына,	It is like this lesson and this lesson have been merged.
	урокпен,	
	мына урок екеуі,	
SPK3001	Иә.	Yes.
SPK3002	қосылды.	
SPK3001	Аха.	Ok.
SPK3002	Мына жерде,	There is also a SAU here.
SPK3001	Жиырма.	Twenty.
SPK3002	еще СОР бар.	
SPK3001	Мхм.	Yes.
SPK3002	Иә.	Yes.
	Екеуі қосылды,	They two merged.
	и,	And, plus, SAU #2, it says.
	плюс,	
	СОР номер,	
	два дейді.	
SPK3001	Мхм.	Yes.
SPK3002	СОР номер два,	Our SAU #2 is on twentieth.
	бұл бізде,	
	жиырмасы болады.	
SPK3001	Мхм.	Yes.
SPK3002	Одан кейін Куриев деген,	After that, there is this named Kuriev.
	мынау,	
SPK3001	Неразлучим—	
SPK3002	ой жоқ мына жерде,	Oh no, there is also an addɪjtional SAT.
	плюс (H),	
	СОЧ бар.	
SPK3001	Сөйтіп иә,	Yes, like this.
	өзім үйде сосын жөндеп аламын,	I will get it fixed at home then.
	шығарып аламын.	I will print it out.
	Мхм.	Yes.
SPK3002	Мен саған мынаны жібере саламын.	I will just send this to you.
SPK3001	Иә.	Yes.
	Ее.	
SPK3002	Со-,	Our SAT for the first term will be on twentieth.
SPK3001	Жібере сал	Oh, ok, you will send it.
SPK3002	СОЧ бірінші четверть,	
	бұл бізде,	
	жиырма,	
	екісі болады.	
SPK3001	Мхм.	Yes.
SPK3002	Ал мынау,	And this one...
	SOUNDS_OF_ERASER_ON_PAPER	
SPK3001	CLEARS_THROAT	
SPK3002	мынау бізде,	This one of ours is on twenty-sixth, one hour.
	бір сағат,	
	жиырма алтысы.	
	И мына жерден только басталады.	And then the second term will only start from here.
SPK3001	COUGHS	
	Мхм.	Yes.
SPK3002	Екінші четверть.	
SPK3001	Мхм.	Yes.
	Дұрыс.	That's correct.
SPK3002	Так,	Well, let me write this down for now.
	мынаны жазып алайыншы.	
	Пока.	
SPK3001	COUGHS	
SPK3002	Немене жазып жаттым мен.	What was I writing?
	Твой шаг в природу дейді.	"It says, ""Your Step into the Nature.""  Thirteenth."
	Он үш.	
SPK3001	@@	
SPK3002	Ойба:й.	Oh no!
SPK3001	Ау.	What's wrong?
SPK3002	Дұрыс иә?	This is correct, yes?
	Он екі кетті,	First twelveth, and then thirteenth.
	он үш кетті.	
	Енді бесі дейді,	And how fifth.
	Зеленый Мир.	"""Green World."""
	MOUSE_CLICKS	
SPK3001	Ласточки на паровозе.	"""Swallows on a Locomotive."""
	Алтысы.	Sixth.
	CLEARS_THROAT	
	Нәскиім,	My socks...my feet got hot.
	аяғым қызып кетті шешіп салып	
	тәпішке киіп келмесем.	I'd better go take them off and wear slippers.
	CLEARS_THROAT	
	Мынау сенікі ме?	Is this yours?
	А.	Hey?
SPK3002	Мхм.	Yes.
SPK3001	Күшті ғой?	It is nice.
	Блестящий.	Sparkly.
	Қашан алдың.	When did you buy it?
	Үйден алып па едің.	Did you buy it back at home?
SPK3002	Моссодан.	From Mosso.
	Алдында Дидар апаймен келген кезде алғанбыз.	We bought it when we came here with Didar auntie.
SPK3001	Ммм.	Oh.
SPK3002	Сурет салуым керек қазір мен.	I need to draw now.
SPK3001	Аа.	Oh.
SPK3002	Бір адам:ды,	How long does it take to examine one person, they say? At that thing.
	қанша қарайды екен ана мы—	
	неменеде?	
SPK3001	Көп қарамайды ғой деймін.	I don't think it takes long.
	Немене.	Why are you asking?
	Ау.	Hey.
SPK3002	Ааа,	What about appointments? When do they usually start?
SPK3001	Ау.	Hey.
SPK3002	немене,	
	прием,	
	қай кезден басталады екен.	
SPK3001	С восьми.	From 8 am.
SPK3002	С восьми?	From 8 am?
SPK3001	До часу.	Till 1 pm.
	Болды.	That's it.
SPK3002	Аа.	Oh, I see.
	Қай больница.	Which hospital?
SPK3001	Диагностика.	Diagnostics.
SPK3002	Областная диагностиче—	Regional Diagnostics...
SPK3001	Иә.	Yes.
SPK3002	Областоной диагностический центр деген бе.	"The one that is called ""Regional Diagnostics Center""?"
SPK3001	Иә.	Yes.
	Иә.	Yes.
	Иә иә.	Yes yes.
	Областной диагностический—	Regional Diagnostics..
	Әгі Тамерланның алдындағы.	The one located in front of Tamerlan.
	Императордың алдында.	In front of Imperator.
	Император.	Imperator.
SPK3002	Бәсе.	I knew it.
	Тамерланның қасында,	How can it possibly be in front of Tamerlan?
	####	
SPK3001	Император,	I mean Imperator.
	Император.	Imperator.
