speaker	span	translation
SPK0026	Ойбай ей:.	"She said, ""Oh my God, you bitch!"""
	Қаншық-ау деп сөйтті.	
SPK0023	@@@@	
SPK0025	@@@@	
SPK0023	@@@	
SPK0026	Тәтем.	My oldest sister.
	¬Жекесенді жақсы көреді емес пе.	She loves Zheksen, you know.
SPK0023	Мхм.	Yes.
SPK0026	Ойбу қаншық,	Omg, bitch, stop it, don't do so.
	қой.	
	Үйтпе.	
	###.	
SPK0024	¬Жексен сенің қаның емес пе ей,	"""Zheksen is your blood, bitch"", she said to her."
	қаншық деп қояды мынаған.	
SPK0026	Иә,	Yes.
SPK0024	@@	
SPK0023	А?	Come again?
	@	
SPK0026	мен шымшып,	She pinched me a couple of times.
SPK0024	¬Жексен саған,	"""You bitch, Zheksen is your blood"", she said."
SPK0026	шымшып алды.	
SPK0024	қаның,	
	қаншық деп қояды.	
SPK0023	@@@@@	
SPK0025	@@@@	
SPK0026	¬Жексен #.	Zheksen #.
SPK0027	Есі дұрыс кісі,	Does a normal woman on Earth go to her in-laws ###?
	қайын жұртына бара ма,	
	күйеуінің ###.	
SPK0023	@@@ @@ @@	
SPK0024	@@@@@@	
SPK0025	@@@ @@@@@	
SPK0026	Содан кейін ####,	After that...
SPK0024	@@@@	
SPK0026	содан кейін,	after that...
	##.	
	Тәтем келіп шымшып,	My sister comes up to me and pinches me a few times.
	шымшып алады мені.	
	Ойбай ей,	"She says, ""oh god, you bitch, don't you know this..Zheksen is your blood? Don't seperate them!"""
	қаншық-ау,	
SPK0023	@@@	
SPK0026	бұл,	
	¬Жексен сенің қаның емес пе.	
SPK0023	Аха.	Yes.
SPK0026	A.	
SPK0025	@@@	
SPK0026	@@	
	Бөлме деп @	
SPK0024	Бөлме деп,	"She said, ""Don't seperate them!""."
	мына айтты,	
SPK0026	Бөл—	"""Seperate..."""
SPK0024	бармайсың енді деп.	"She said, ""You are not going back to him anymore""."
	##	
SPK0026	Иә.	Yes.
SPK0024	Енді не етіңдерші деп.	"""If you guys do so again...""."
SPK0026	Бармайсың.	"""You are not going""."
SPK0027	Мақұлықпын иә вообще а.	I was so stupid, right?
SPK0023	Мхм.	Yes.
SPK0024	Иә.	Yes.
SPK0027	@@@	
SPK0024	@@@@	
SPK0026	@@	
SPK0023	@@@ @	
SPK0026	##	Tell me if I am saying the truth or lying?
	Ол ө- өтірік пе шын ба айтшы соны.	
SPK0027	Жоқ рас.	No, it is all true.
SPK0026	Сосын бармайсың деп сөйттім.	"Then I said, ""You are not going back to him""."
	Енді Ахметке барамын деген сөзіңді қой дедім мен.	"I said, ""Don't you ever from now on say that you want to go back to Zheksen!""."
	Айтпа.	Don't say it!
	Содан кейін бар ғой иә,	You know what happened afterwards?
	¬Жексен келді,	Zheksen came.
	¬Жексен,	
SPK0027	@@@@@	
SPK0026	ана,	There was this thing, my sister's galosh.
	тәтемнің гәлөші ме неменесі тұрған.	
	Басынан,	I took it and hit his head with this galosh, and I kicked him out from my appartment.
	періп періп бірақ,	
	қуып шықтым үйден.	
	Кет.	"I said, ""Go away!"""
