speaker	span	translation
SPK6008	Біз киноға қай күні бардық	What day did we go to the movies?
SPK6007	Алдыңғы күні барғанбыз	We went the previous day.
SPK6008	Алдыңғы күні ма екі күн бұрын бардық где-то так	We went the day before or two days ago.
	Черная Вдоваға	The Black Widow, was it your first time going to a Marvel (movies)?
	сен бірінші рет бардың ба	
	Марвелға или как	
SPK6007	Жоқ Марвелды	No, in general, I watch Marvel movies, but I wasn't particularly interested in the Black Widow movie.
	негізі көремін ғой	
	просто	
	Черная Вдова:	
	қатты қызықпадым	
SPK6008	Қызыққан	Interesting.
	Негізі бар ғой	In fact, you know Romanoff right, when she died, she, I already forgot in the cinema, but then I remembered that she died in the Endgame.
	Романов бар ғой	
	өліп қалған кезде	
	ол	
	уже	
	мен уже ұмытып қалыппын бар ғой кинодан	
	бірақ есіме түсті что	
	ол финалда өліп қалды	
SPK6007	Сен айттың ғой сол кезде--	You said back then--
SPK6008	Иә мен айттым	Yes I did. You have to watch it, The Last Avenger Part I.
	Саған соны көру керек	
	Последний мститель первая часть	
SPK6007	Көргем оны	I watched it,
	Көрдім ғой	I did.
SPK6008	Бесконечность пен Финалды ма	The Infinity War and the Engame, right, those with Thanos?
SPK6007	Көрдім	I watched, but I already forgot [what they were about].
	бірақ мен уже ұмытып қалдым просто	
SPK6008	Таносы бар который	
SPK6007	Иә көрдім	Yes, I did, those with Thanos.
	Таносы барды	
SPK6008	А	When ¬Aruzhan went with us, they didn’t see any [of the films], they seem to have watched Marvel for the first time.
	¬Аружандар бізбен барғанда ешқайсысын көрмеген ғой	
	бірінші рет көрді кажется олар Марвел--	
SPK6007	¬Анель көрген жоқ	¬Anel hasn't watched [them], too.
	###	
SPK6008	¬Анель көрген жоқ па	¬Anel hasn't?
	А	
	ал қасында ¬Диана сұрады ғой бізден	Ah, and nearby ¬Diana asked us the same. Maybe.
SPK6007	¬Диана бітіргенге ұқсайды	It looks like ¬Diana finished [the Marvel movies].
SPK6008	Наверное	
	Н	
	Негізі бар ғой	In fact, there is,
	мм	
	ээ	In general, there is, what was her name, Romanoff, at the very end [her] sister said, like Klint killed this Romanoff, she showed the photo at the very end, you have such and such a task, you need to kill her and so on.
	қалай еді анау	
	Романофф	
	ең аяғында айтты ғой	
	сестрасы типа	
	Романоффты осы	
	өлтіріп тастады деп	
	Клинт	
	фотосын көрсетті ғой ең аяғында	
	екенін кажется--	
SPK6007	Иә иә	Yeah yeah.
SPK6008	тебе задание осындай осындай	
	өлтіру керек деп	
	сол кезде	Then, actually, Clint didn't kill her.
	эээ	
	негізі	
	Клинт өлтірген жоқ қой оны	
SPK6007	Я тоже не помню	I don't remember either.
SPK6008	Ол скаладан өзі секірді ғой	She herself jumped off the cliff, for the sake of this, in order to get the soul stones.
	ради этого	
	чтобы получить камни души	
	сол короче	Long story short, she died herself.
	өзі өлген	
	Енді маған ка-	Now I th--
SPK6007	Ма-	I--
SPK6008	маған кажется	It seems to me that her sister is dead now, Natasha, she left the Avengers. She will now take her place, because somehow it is necessary to continue.
	соның апайы енді өлді ғой	
	мстительдан кетті ғой	
	Наташаның	
SPK6007	Анау Мстительлар-	Those Avengers--
SPK6008	Оның орнына кіреді	
SPK6007	Иә	Yeah.
SPK6008	потому что	
	жалғастыру керек қой бірдеңке етіп	
SPK6007	Басыңда типа андай болады--	In the beginning they were like, squarrelling, and so on.
SPK6008	Иә иә осылай ұрысады да--	"Yes, yes. They fight, argue saying something like you killed mine, and he felt guilty. made Both of them, in short, ""who dies, who dies"" sort of argued when they jumped off a cliff. She shot Clint in the leg and jumped off herself, didn't she?"
SPK6007	ұрысады анау-мынау	
SPK6008	төбелеседі	
	сен менікін өлтірдің	
	деген сияқты	
	сосын анау өзін	
	виноватой чувствовать етіп--	
	Негізі	"Actually, she made him feel guilty about it, arguing-- Both of them, in short, ""who dies, who dies"" sort of argued when they jumped off a cliff."
	виноватой чувствовать етті ғой	
	жарыс--	
	екеуі кoроче	
	кім өледі кім өледі деп	
	жарысты ғой	
	шка- ска- скаладан секіргенде	
SPK6007	Иә иә	Yeah yeah.
SPK6008	и	She shot Clint in the leg and jumped off herself, didn't she?
	анау Клинттың аяғын атып тастады да	
	өзі барып секірмеспе	
	Соны--	
	соны айтады наверное	They will probably tell about it, probably, someone will show it in this way now.
	сөйтіп	
	көрсететін шығар енді	
	біреулер	
	Сосын	Then from the new Avengers, who else left, Captain America also left [the Avengers roster].
	мститель дың новый	
	кім де кетіп қалды ғой	
	Капитан Америка да	
	ішінен	
SPK6007	Қашан	When?
SPK6008	Капитан Америка кетіп қалды ғой білмейсің ба	Captain America is gone, don't you know?
	Короче ең ақырысында	In short, at the very end, in the second part of Avengers: Endgame, Captain America took this one and returned to the past. Went back in time and--
	мститель дың финал дың екінші частьында	
	эээ	
	кім алды да	
	Капитан Америка	
	прошлыйға кетіп қалды ғой	
	сол прошлыйға кетіп қалды да--	
SPK6007	Қашан ол	When was it?
	Мен оны көрген жоқпын	I didn't see it.
SPK6008	Онда неге көрдім деп айттың	Then why do you say you did?
SPK6007	Мен көрдім бірақ	I watched, but maybe I don't remember.
	но может не помню	
SPK6008	Жоқ сонда кетіп қалды короче	No, then he left, in short, returned to the past, and then what he did, returned to the future again, and returned as an old man.
	прошлый ға вернуться етті да	
	и потом не істеді	
	қайттан қайтып келді будущийға	
	и кәрі шал болып қайтып келді	
	То есть ол--	That is, he-
SPK6007	Мен оның ғана быт-шыты шығып кеткенін помню	I only remember how it shattered to smithereens.
SPK6008	Ол--	
	То есть ол короче	That is, he, in short, at the very end returned to where he was before he became Captain America, and, there-
	ең ақырында	
	өзінің Капитан Америка	
	болмай тұрып	
	болған жерге	
	вер--	
	вернулся	
	и	
	сол жерде	
