speaker	span	translation
SPK0014	Мамаңның апайы?	"""Your mom's older sister?"" - what do you mean?"
	¬Маулия деген?	The one named Maulia?
SPK3007	Сіңлісі.	Her younger sister.
SPK3011	Сіңлісі.	Her younger sister.
SPK3007	Туған.	
SPK0014	Ол не қылып жүр тойда.	Why is she at the wedding party?
SPK3007	Енді шақырған ғой енді?	Well because she was invited.
SPK3011	Е.	
SPK0014	Ол вообще маманың—	She is related to my mom...
SPK3007	Тойға.	To the wedding,
SPK0014	Мамам жақтың туысы ғой.	She is a relative from my mom's side.
SPK0027	Жоқ,	No, your dad is making you confused.
	анау шатасып отыр.	
SPK3007	Апаңның сіңлісі.	She is the younger sister of your grandmother.
SPK0027	Апаңның сіңлісі.	Your grandmother's younger sister.
SPK3007	Міне тұрған апаң қайда.	Your grandmother who is just over there!
SPK0014	Сен мам—	"You said ""your mom's."""
SPK0027	Сен мамаңның деп айттың ғой.	"You said ""your mother's."""
SPK0014	Сен мамаңның дедің ғой.	
SPK3007	Қойшы ей.	Stop it...Right when I started, yes, I said so, but then I fixed myself.
	А дегенде сөйтіп айттып,	
	содан кейін былай айттым.	
	Мынау міне.	This is her.
	¬Маулия апай.	Aunt Maulia.
	Шуда тұратындар.	The one who and whose family lives in Shu.
SPK3011	Иә.	Yes.
	##,	
	Алматыға жақын.	It is close to Almaty.
SPK3007	Жақын,	It is close, yes.
	иә.	
SPK3011	Екі-ақ жүз шақырым,	Just a couple of miles on the bus, they say.
	автобуспен дейді.	
	Автобуспен,	They probably came on a bus. It is cheap.
	келген шығар.	
	Арзан.	
	###.	
SPK0014	А: ана,	Oh, that one who lives in Shu?
	Шуда тұратын ба,	
	е: иә.	Oh yeah.
SPK3011	Иә иә,	Yes yes.
	Шуда тұрады ол.	She lives in Shu.
SPK3007	Мынау,	These are the tables, look.
	үстелдер міне.	
SPK0014	Күшті ғой?	Oh that's nice.
	Стол күшті болыпты ғой.	The table indeed was nice, I see.
SPK3011	Енді ресторан,	Well they said the restaurant organized everything themselves.
	өздері жасайды дейді ғой.	
	Мынаның бәрін.	All this.
SPK0014	Иә.	Yes.
SPK3007	Так,	Alright.. here there is also some more...
	мына жақта,	
	тағы міне,	
	міне біреу бар.	
	(H)	
SPK0014	Фотоларды көрсетші.	Show the photos.
SPK3007	Міне біреу.	Here is one.
	Иә.	Yes.
SPK0014	Мынау кімдер.	Who are these people?
SPK3007	Мынау сол,	This is that person...
	¬Нұргүл.	Nurgul.
	¬Бақыттың апайы мен,	Bakyt's older sister and his younger sister.
	қарындасы.	
SPK3011	Иә.	Yes.
SPK0014	М:.	Oh I see.
	Мынау ¬Маржан деген кісі ме сол?	Is this the person named Marzhan?
SPK3007	Иә иә.	Yes.
	Сол.	That is her.
SPK0014	Көрейінші.	Let me see closely.
SPK3011	Мынау ¬Маржан ғой.	This is Marzhan.
SPK0014	А:.	Oh, the one whose husband is Turkish?
	Күйеуі түрік кісі иә?	
SPK3007	Иә иә.	Yes yes, Turkish.
SPK3011	И:ә.	Yeah, Zhalel's wife.
