speaker	span	translation
SPK6010	(H) Да,	Yes, classes are over already.
	сабақ,	
	сабақ бітті уже.	
	Че, как курс,	So, how did your Spring semester go?
	бітірдіңдер,	
	Spring-та?	
SPK6011	Керемет.	Amazing.
SPK6009	(???)	Bad.
SPK6010	QQQQ	QQQQ
SPK6011	QQQ	QQQ
SPK6010	Мен главное capstone-ды тапсырдым,	Most importantly, I submitted my capstone, so I am chilling.
	все маған,	
	кайф.	
SPK6009	Capstone-ды топпен жазасыңдар ма?	Do you write the capstone project in group?
SPK6010	М?	Pardon?
SPK6009	Capstone-ды топпен жазасыңдар ма?	Do you write the capstone project in group?
SPK6010	Жоқ,	No, you write it on your own.
	өзің жазасың.	
	Вообще, лингвистика capstone какой-то э.	Actually, capstone in linguistics is not good.
SPK6009	Неге?	Why?
SPK6010	Бір жыл,	Basically, you do nothing the whole year.
	ештеңе істемейсің,	
	по сути.	
	Не то что ештеңе іс-,	Not like you really do nothing but they keep telling you to do this or that.
	тиісе береді саған.	
	Мынаны істе, мынаны істе.	
SPK6011	М.	Мmm, I see.
SPK6010	Literature review,	Literature review was an useless thing to be honest.
	вообще,	
	бесполезный нәрсе болған.	
	Вот.	That's it. Capstone in Mathematics is cool, it goes only one semester in spring.
	Математикада күшті capstone,	
	бір семестр ғана.	
	spring-та.	
SPK6011	М.	Oh.
SPK6010	Еще бізде презентация,	And the capstone presentation, imagine that you write your capstone project for one year and they give you only five minutes to present it.
	capstone-ның,	
	прикинь сен бір жыл,	
	проект істейсің,	
	и сол проектті презентация,	
	жасауға,	
	саған бес минут береді.	
SPK6011	Это вообще.	That is not good.
SPK6009	Неге бес минут?	Why five minutes?
SPK6010	Бес тире жеті.	Five dash seven.
	Білмеймін.	I do not know.
	Біз өзі көп емеспіз,	There are not so many of us, so they could have given us more time.
	бізге можно было нормально уақыт беруге,	
	математикарда,	Mathematics or engineering students were given thirty minutes for each one to present but we only had five minutes.
	или инженерлерда, біреуінде,	
	COUGH отыз минут,	
	презентация.	
	Бізде бес.	
SPK6009	(Hx)	(Hx)
	###	###
SPK6010	Пока теманы объяснить еткенде уже,	It takes four minutes to only explain the topic.
	төрт минут кетеді.	
SPK6011	Мхм.	Yes.
	А offline-да қалай болды?	What about offline semester?
SPK6010	Адамдардың алдында.	In front of people.
SPK6011	М, қанша минут болды?	No, I mean how much time they had to present?
SPK6010	Білмеймін.	I do not know.
SPK6011	М.	Oh, okay.
	М, көбірек болған шығар по-любому.	Hmm, they for sure had more time.
SPK6010	Мхм.	Yes.
	Кажется социологтарда,	If I not mistaken, sociology students presented their capstone projects in front of other universities, not universities, but potential employers.
	COUGH	
	а, capstone болғанда,	
	басқа университтерден,	
	университет емес,	
SPK6011	(H)	(H)
SPK6010	жұмыс,	
	беретін адамдар да болған,	
	короче,	
	қарауға,	
SPK6011	М.	Мmm.
SPK6010	презентацияларды.	
	Потенциальный работодательдер.	
SPK6009	Сонда,	So, some of students do not write a capstone project, right?
	а кейбіреулерінде capstone жоқ, иә?	
SPK6010	Можно capstone алмауға, да.	Yes, you may skip the capstone project.
SPK6009	А.	Oh, okay.
SPK6011	Это осы жылдан бастап.	It is only starting from this year.
SPK6010	Бізде осы жылдан бастап,	Starting from this year we, linguistics, to be specific WLLC students [may skip the capstone project].
