speaker	span	translation
SPK1133	Қазір ана нандарды	
	ана іш-	
	ана	
	неге	
	қоя салайын	
	Жинап	
SPK1132	Жинай бер	
	Тамақ майлы болып кетіпті иә	
SPK1133	Ы ы не	
	调料 -ы көп қой	
	сосын біраз ауыр келеді	
SPK1132	Иә біраз ####	
SPK1133	Сол	
	ана	
	мен Қытайға барған кезде	
	тамақтар	
SPK1132	头一次	
SPK1133	тура солай	
SPK1132	看到舅舅跳这么嗨 дейді	
SPK1133	сезіліп кетті	
SPK1132	Мынау қайсы үйде	
SPK1133	Тамақ	
	-тар	
SPK1132	Ааа	
	Мынау 南山	
SPK1133	Тамақтар	
	Тамақтар	
	тура осылай сезілді да	
	андай	
	дәмді да	
	сосын	
	жеп жеп	
	тоқтап қаламын	
	Ары қарай	
	өтпейді	
SPK1132	Ааа	
SPK1133	Әлі жіберіп жатыр ма	
SPK1132	Хууу мә	
	Қарашы	
SPK1133	Не дейді	
	No violence	
	还学开枪	
	дейді @@@@	
SPK1132	@@	
SPK1133	Менің	
	ішімнен ойлап жүрген сөзді айтты	
	деп па @@	
SPK1132	@	
	Ай қызық-ай иә	
	Күшті күшті күн өтіп жатыр әйтеуір	
	Мен мынаны қоя салайыншы	
SPK1133	SINGS	
	SINGS	
	Ммм	
	так	
	ертең не істейміз	
SPK1132	Базарға барып келу керек	
	Шанхайға	
SPK1133	Базарға барып келейік па алдымен	
SPK1132	Иә иә	
SPK1133	Сосын мен ойлап отырмын да мысалы	
SPK1132	Жоқ 我们实在不行	
SPK1133	қазір	
SPK1132	мегаға барып келеміз	
SPK1133	қазір ана	
	сен телефоныңды алып кел	
	сосын біз мына жерде ойластырып көрейік та ана	
	суреттерді қайда түсетінімізді	
SPK1132	Жоқ оны сен iPad-пен түсіріп	
SPK1133	Мен қазір ойлап жатырмын	
	ана	
SPK1132	iPad-пен жазсаң болмай ма	
SPK1133	Е iPad-ты да алып кел	
	телефон	
	2ГИС	
	-ті қарау үшін	
SPK1132	Аа	
SPK1133	Коланы онда ертең алайық па	
SPK1132	Нені	
SPK1133	Кола мен	
	спрайтты	
	Қазір	
	бүгін шай іше тұрайық па	
SPK1132	Неше болды сағат	
SPK1133	Сағат жай болып кеткен сияқты уже	
	Ыы он болып кетіпті	
	Ладно иә	
	Қазір ішсек-	
SPK1132	Ондай болса су қайната салайықшы	
SPK1133	#	
SPK1132	жаңағы ауыр келіп тұр	
SPK1133	Е мен маған да	
	Ананың ішінде уже қалмады ма	
SPK1132	Аз ғана	
	一点点	
SPK1133	Сен әлгі	
	соған құя салайық	
	Ойбой ештеңе қалмапты ғой	
SPK1132	BURP	
SPK1133	Сосын мен ойлап жатырмын да біз қазір	
	сурет	
	түсіретін жерді ойластырып алайық	
	сосын	
	қайсы	
	#	
	қайсы киіммен	
	түсіп	
	қалай	
	түсетінімді сен жазған ана	
	方案 бойынша	
	сөйтіп	
	енді	
SPK1132	有没有电了	
	қарай салшы	
SPK1133	сәл-пәл	
	ойластырып қойсақ а	
SPK1132	有没有电了 екен қарай салшы	
SPK1133	Так	
	Ыыыым	
	百分之五十八	
	жететін шығар	
SPK1132	Иә жетеді жетеді жетеді	
SPK1133	Қазір	
	туф мынау	
	тряпка недеген сасық	
SPK1132	平板有没有电 ？	
SPK1133	шуаштың иісі шығады	
	А	
SPK1132	用这个擦 мә	
	Йо	
SPK1133	Біз ертең	
	базарға барып келіп сосын	
	қайтып келген соң	
	ыы мегыға барып келейік па	
SPK1132	Иә сол мегаға барып келейік па дегенім ғой	
SPK1133	Ақ жейдеге	
	##	
SPK1132	Аа	
	###	
SPK1133	Саған	
	саған тоже қарап көрейік	
	не бар екен	
SPK1132	Сол маған егер бір не болса	
SPK1133	Саған не керек болды бүгін ештеңе керек емес па	
SPK1132	Маған мұндай бір	
	休闲 -ырақ	
	白体桖 керек қой деймін	
SPK1133	Жоқ бірақ та 那个白体桖 де болады екен дегенде	
	Может бір қара POLO 衫 ？	
	дедік емес па	
SPK1132	Аа	
	қара POLO 衫	
	дұрыс	
SPK1133	SINGS	
	Бүгін	
	жиырма жетісі иә	
SPK1132	Мхм	
SPK1133	Жиырма жетісі	
	нөл	
	бес	
	Так	
	жоқ жиырма сегізі ма	
SPK1132	Жиырма жетісі бүгін	
SPK1133	А жиырма жетісі екен	
	(H)	
	我	
	联系 Іңкәр кеше	
	诶 ？	
SPK1132	Мм 你把裙子拿掉了	
SPK1133	Ын	
	Не жазамыз	
	Ыыыы	
	ЦОН	
SPK1132	ЦОН	
SPK1133	Ой ЦОН деймін ғой	
	Қаз	
	Қаз тест	
	-ке	
	тіркелу	
	деп жазып қояйын	
	Тір	
	-келу	
	Is it fine	
SPK1132	Мхм	
SPK1133	(H) (Hx)	
	Сол	
	first look	
	может	
	сен немен жасадың	
	Pinterest-пен	
	Или немен	
SPK1132	Жәй	
SPK1133	Гугл	
	Гугл	
	Эй	
	негізі	
	немен жасамайсың ба ана	
	Иә сен осымен жаса	
SPK1132	###	
SPK1133	Аа	
	бәсе	
	(H) Былай	
	уа кәдімгідей 开会一样奥 @@@@@	
	Мынаны былай жығып тастайық	
	Сосын	
	есімізге түспейді	
SPK1132	Телеграмға	
	жібере салайыншы	
	ана суреттерді	
	біраз	
	қолайлы болады қазір	
SPK1133	Мммм	
	Upper angle	
	object	
	center	
	дейді	
	(H)	
	Так	
	мынау	
	баспалдақтағы	
	ыыы	
	I think we can do it at	
	uni maybe	
	It's	
	possible	
	Атриумда отырып	
	ана	
	ыы	
	үстінен түсіріп	
SPK1132	Қалай кіреміз барлығымыз	
SPK1133	Жоқ	
	ыыы maybe	
	at the graduation day	
SPK1132	Мхм	
	这个不需要特别大的打光啥的 ғой	
SPK1133	like	
	Иә	
	It's just like maybe	
	кімдер	
	түсіріп береді	
SPK1132	相机 түсіп кетпесе болды ғой @@@	
SPK1133	Ыыыы	
	It doesn't have	
SPK1132	Короче	
	Мына	
SPK1133	to 跟相机没#	
SPK1132	这个 这个	
	这个	
	这个	
SPK1133	Мхм	
SPK1132	相机 болмаса мынандай не шықпайды ғой	
	(H)	
	Тіпті мынаны	
SPK1133	选人 ？	
SPK1132	кімдермен	
	¬Фариза түсіргенде осылай түсірейік сосын 大学 -да да	
	түсіріп көрейік	
	мынаны екі	
SPK1133	Ок	
SPK1132	Ой үстіне жаза берейікші	
SPK1133	(H)	
	Сен жаза ғой сен	
SPK1132	Сен жазуың	
	сен жазуың жақсырақ қойшы	
SPK1133	Давай	
SPK1132	充电 болып тұр ма екен мынау	
	Ана жақта	
	充电 сияқты болған еді	
SPK1133	你有没有	
	把我上次说的那些	
	қосып қойдың ба	
SPK1132	我没加那些	
SPK1133	Ок	
	存了吗 ？	
SPK1132	存了	
	在我手机里	
SPK1133	Қай жерде сенің	
	телефоныңда ма	
	Онда Airdrop-пен	
	жібере салшы	
	¬Есбол может 我们新开一个	
	Әлде	
	Is	
	too complicated болып кете ма	
SPK1132	新	
	新开一个吧	
	那就	
	新开一个吧	
SPK1133	嗯 新开一个吧	
SPK1132	这个	
	##	
	要不直接就往下面的 папка 里面加就行了	
SPK1133	Жоқ жоқ	
SPK1132	#	
SPK1133	түсініксіз болып кететін сияқты	
SPK1132	这里面全是那些的呀	
SPK1133	(H)	
	Фан	
	ноутбук	
	иә	
SPK1132	Ын	
SPK1133	CLICK	
SPK1132	WHISPER Сен маған қалай жіберген едің	
SPK1133	Flowers	
	#	
	(H) CREAKY ыыы	
	Айттым ғой иә 那个	
	点点	
	ең жақсы	
	ең ыңғайлы шығады иә	
	Басқаларға қарағанда	
	那个 bullet journal деген	
	就是这种点点 ғой	
SPK1132	Ммм	
SPK1133	Бірақ та осы жақта	
	就是买不到那种我喜欢的暖色的 。	
	Болды	
	сен сақтадың ба	
