speaker	span	translation
SPK3001	А.	Tell me? Who is going to give me money? Tell me.
	Кім маған ақша береді,	
	айтшы.	
	Мен,	I spend all of my money on food and that's it.
	бүкіл ақшамды тамаққа жұмсаймын да,	
	отырамын.	
	Үш күн сайын барып,	Every three days I go bring food and that's it.
	тиеп әкелем,	
	болды.	
	Біз ауылдан тұрғаннан кейін,	Because we live in a village, we buy everything.
	все покупаем,	
	бәрін.	
	Кроме мяса.	Except for meat.
	Қалғанның бәрін покупаем.	All other stuff - we buy.
	Қалғат кет-,	I do not want to leave for city.
	кет-,	
	кім келмейді менің,	
	вообще қалада мен даже,	Even when I am in the city for teacher courses, I barely feel comfortable and at east.
	курсқа барсам,	
	әзер жүремін ғой.	
	Те:з,	I always want to leave for the village as soon as possible.
SPK0014	Ой.	Oh. You will get used to it.
SPK3001	кеткім келіп.	
SPK0014	Үйреніп аласыз сіз.	
	¬Моншақ апай секілді.	Like aunt Monshak.
	¬Моншақ апай,	Aunt Monshak herself says now that city is way better than village.
	өзі айтады ғой қазір.	
	Ауылдан қарағанда,	
SPK3001	Ее.	Oh..
SPK0014	қала рақат екен деп.	
	Өзі.	She says that living in an apartment is easy [i.e., isn’t very demanding when it comes to chores.]
SPK3001	Мхм.	Mhm.
SPK0014	Квартирада,	
	рақат емес пе деп.	
SPK3001	Ее.	Oh I see.
SPK0014	Сіз білесіз бе,	You know what..
	үйлер (TSK),	Let's say you buy a two- or three-bedroom apartment, right...
	екі комната,	
	үш комнаталық квартира алып алсаңыз,	
	допустим иә?	
SPK3001	Мхм.	Mhm.
SPK0014	Сол жерді бар ғой,	Maintaining such an area is just nothing.
	жуған,	
	түк емес қой.	
SPK3001	Жоқ мен,	No, maintaining the place is not my concern.
SPK0014	И жоқ,	Once you mop the floors that is it... You will have more of what ... you know... more time... for self-care...for yourself.
SPK3001	мен жуғанға,	
SPK0014	жуып аласыз иә?	
SPK3001	қ##-,	
	қиналмаймын мен.	
SPK0014	Жоқ жоқ.	
	Жуып аласыз да,	
	Отырасыз,	
	бітті сіздің,	
	сізде,	
	появляется знаете—	
	знаете что.	
SPK3001	Больше времени.	More time.
SPK0014	Больше времени.	
SPK3001	На уход,	For self-care... for yourself.
SPK0014	Мм.	
	На уход,	
SPK3001	на себя.	
SPK0014	на себя?	
SPK3001	Мхм.	Yes.
SPK0014	На детей.	For children.
SPK3001	Ой,	Oh.. I am already spending enough of my time and attention on kids...  I think no one else spends as much time as I do on kids...
	на детей мен и так қарап отырмын.	
	Вот,	
SPK0014	Жоқ анандай,	Like I mean...
SPK3001	мендей қараған ешкім жоқ,	
SPK0014	бүйтіп,	like this..
SPK3001	балаларына.	
SPK0014	қасыңызда отырып,	sitting by you..
	бүйтіп.	
	Ал мына жақта сізде,	But here you always have work...
	жұмыс қой.	
	Ары бері,	Constant back and forth... this or that...
	ары бері.	
SPK3001	Ойба:й.	Oh my!
SPK0014	То мынау,	
	то анау @.	
	Ужас (TSK).	You know why.. you know why you have a lot of work here...
	Жоқ,	
	потому что знаете,	
	сізде мына жақта неге көп жұмыс.	
	Потому что сізде адам көп те үйде.	because you have a lot of people at home...
SPK3001	Мхм.	
SPK0014	Бала көп,	You have a lot of kids at home...
	оған тамақ беру керек.	You have to feed them...
	Тамағын пісіру керек.	Cook their food...
	Естественно бала,	Well of course when you have a lot of people, you have cook a lot of food.  Plus they have to each different kinds of food.
	адам көп болғандықтан,	
	тамақ көп пісіру керек қой.	
SPK3001	Мм,	Of course.
	конечно.	
SPK0014	Тамақ кетеді.	
	Оны,	
