speaker	span	translation
SPK5004	Маған да бір кездері осы ұна-	At one point, I was also interested in this topic, such as speaking beautifully and producing sounds clearly.
	ы:	
	тақырып қатты қызық болған	
	әдемі сөйлей алу	
	деген	
	дауысты жақсы жеткізу деген сияқты	
SPK5005	Сен Toastmasters-та қызық	Did you enjoy being in Toastmasters (student club)?
	болды ма	
SPK5004	Бірақ бізде Toastmasters SpeakOn сияқты істемейді	But our Toastmasters do not do it like Speak On.
	Toastmasters-та	Mainly in Toastmasters, its main achievement is conquering your fear of audience.
	көбінесе	
	өзіңнің	
	ну	
	қысымды	
	мысалы халықтан қорқасың қорқынышты сол	
	жеңуді	
	басты оның жетістігі	
	Ал ол жақта	However, we do not teach each other because we do not have a trainer, for example, there is no one like ¬Alikhan who comes to learn.
	бір-бірімізді біз үйретпейміз	
	себебі ол жақта тренер жоқ қой	
	мысалы ¬Әлихан сияқты үйренгісі келген адам жоқ та	
	CLAP	(CLAP)
	Ы:	Their only goal is to speak and deliver your thoughts.
	сөйлеу мен	
	ойыңды жеткізу ғана ана жақта мақсаты	
SPK5005	Мен бір несіне се- сес- сес- сес- сессиясына барғанмын	I went to their session once and I was anxious about public speaking at the time, so my heart was beating crazy like thump, thump, thump, because I was worried about being called to speak.
	ол кезде менде	
	ы	
	public speaking	
	anxiety	
	өте жоғары болған	
	прям маған андай мені қазір шығарып қалса деп жүрегім дың-дың-дың	
SPK5006	М:	I see.
SPK5005	@@	QQ
SPK5004	М:	Mmm.
SPK5005	Тек қана мені шақырмасын шақырмаса екен деп солай өте	I was really scared of being called to speak at the time wishing not to call me.
	сол кезде өте қорқатынмын	
SPK5004	M:	I see.
SPK5005	Еще ол кезде	Also they all spoke Russian at the time, and I was not confident in my Russian proficiency.
	о- орыс тілінде барлығымен сөйледі де	
	ал мен орыс тілінен өте сенімді емес едім	
SPK5004	М:	Мmm.
SPK5005	Бірақ соңғы бір жылда андай	Eventually, I got to speak fluently and write in Russian by writing to stories in Russian.
	stories-қа жазып жазып	
	@	
	орыс тілінде	
	ы: қазір уже орыс тілінде а- анық сөйлей аламын	
SPK5004	Иә мен байқадым	Yes, I noticed that.
SPK5005	### аламын	
SPK5004	О-	Once your stories suddenly were in Engli- Russian.
	сен бір кездері	
	бірден stories-тар	
	ағылш- орысша болды ғой	
SPK5005	Иә	Yes.
SPK5004	Одан кейін барлығы	And then everything was in a deep, psychological theme.
	үлкен андай	
	психологический темаларда болды да	
	сол негізі	
SPK5005	Иә	Yes.
	Орыс және психологмен орысша сөйлесіп	I guess I was able to improve my Russian by talking to my psychologist in Russian and reading a lot of books in Russian.
SPK5004	####	&&&&
SPK5005	психолог- орысша көп жазып орысша кітаптар көп оқып	
	жақсартып алған сияқтымын	
SPK5004	М:	I see.
SPK5005	Еще о- оқушылармен де орысша сабақ өткеннен кейін менің ойымша	I also think that teaching students in Russian was a huge experience for me.
	мен үшін үлкен бір тәжірибе болды	
SPK5004	Иә	Yes.
SPK5006	Орысша ма не сабақтар	Are your classes in Russian?
SPK5005	Жоқ енді	No, but I mostly teach English and Mathematics, and it is impossible to teach solely in English because of some of the students' proficiency.
	а: ағылшын тілін білемін ғой	
	ағылшын математиканы беремін көбінесе	
	бірақ а:	
	кейбір	
	оқушылардың деңгейінде	
	толық толық ағылшын сөйлеу мүмкін емес қой	
	Сол себепті әсіресе грамматикалық тақырыптарды	Therefore, it is easier and faster to explain some of the topics in Russian, especially grammar.
	орысша төл- орысша түсіндірген оңайырақ жылдамырақ	
SPK5004	Мхм	Mmm.
SPK5005	Сол кезде мысалы орысша сөйлесемін	At such times, I speak Russian, or generally, when I meet and discuss things with a student or someone else, I speak Russian.
	немесе жаңағы жалпы	
	біреумен танысқанда	
	оқушымен танысқанда	
	келіскенде	
	барлығын орысша	
	талқылаймыз	
	Орыс тілінен	I would that Russian is a language to use in a professional setting.
	іскери	
	тіл деп айтуға болады негізі	
SPK5004	Мхм	Yes.
SPK5005	Қазақша маған қатты	I would not say that Kazakh is comfortable for me (in a professional setting).
SPK5004	Жұмыстық	For work.
SPK5005	қатты ыңғайлы емес	
SPK5004	Қазақ тілі	I think of the Kazakh language as a language of what, used with friends and relatives.
	не сияқты	
	жақындардың арасында	
	достардың арасында	
	а: сөйлесетін тіл сияқты	
SPK5005	Тараздықтармен ғана қазақша сөйлесемін	I only speak Kazakh with people from Taraz.
SPK5004	Иә Тараздықтармен	With people from Taraz, yes.
	иә	
SPK5005	Немесе барлығымен орысша	In any other case, I speak Russian.
SPK5004	Бірақ менің достарымның көбісі	But most of my friends know that I speak Kazakh, so they started learning Kazakh.
SPK5005	Сенімен де орысша сөйлеседі ғой ####	They speak Russian with you as well.
SPK5004	біледі ғой менің қазақша сөйлейтінімді	
SPK5006	Жоқ	No.
SPK5004	а:	
	қазақшаға үйрене бастады	
SPK5006	@	@
SPK5004	Мысалы	For example, friends from Almaty and Oral started learning Kazakh.
	Алматынікі де қазақша үйрене бастады	
	Оралдікі де қазақша үйреніп бастады	
	Мен барлығын қазақшаландырамын ғой	I make people speak Kazakh (Kazakhified).
	@@	QQ
SPK5005	Білмеймін маған мысалы өзімнің психологиялық	I do not know but, for example, it is comfortable for me to say about psychological topics in Russian.
SPK5004	(H)	(H)
SPK5005	ы: тақырыптардағы	
	сөйлесу	
	орысша ыңғайлы	
SPK5004	Маған да сондай	It is the same for me.
SPK5005	Қазақша мүлдем сөйлесе алмаймын	I cannotFor example, everyone in the family speaks Kazakh and they do not care about psychology, so we live in an environment where mental well-being is neglected.
	себебі ол менталитет және ассоциация сияқты	
SPK5004	Маған да сондай	It is the same for me.
	Иә иә иә иә	Yes yes yes.
SPK5005	мысалы	For example, everyone in the family speaks Kazakh and they do not care about psychology, so we live in an environment where mental well-being is neglected.
	отбасыда отбасымызда	
	андай	
	қ- барлығы қазақша сөйлегендіктен	
	психологияға мән бермейді ғой олар	
	мүлдем	
