speaker	span	translation
SPK1104	Жазда	Do you go to summer pasture in the summer?
	жайлау	
	бірдеңеге шығасыздар ма	
SPK1111	Иә шығамыз	Yes, we do,
	өзіміз бір машина болып кетіп қаламыз	we go there in one car,
	бір екі күн жүреˈміз әуелі	we even go for a day or two.
	біз қыдырып.	
SPK1104	Жоқ,	No generally
	не	
SPK1111	жайлау--	summer pasture--
SPK1104	жалпы	
	жайлауда	do you spend the whole summer in the summer pasture with your family?
	жаз бойы жүреміздер ма деймін да	
SPK1111	иә жаз--	yes summer--
SPK1104	андай үй отбасыңызбен көшіп	
SPK1111	иә, (..)	yes,
	мен	I grow up in summer pasture.
	жайлауда	
	үлкейгенмін.	
SPK1104	Қыста	In the winter, you go to so called 'qystau' (winter house).
	ана	
	қыстау деген жерге барасыздар	
SPK1111	Иә, қыста:	Yes, in the winter
	қыстауға түсіп аламыз,	we moved to our winter house,
	мен	in the summer,
	жазда жайлауда қал	
	әлгі қыс--	that winter
	қыс--	
	қыстың басына дейін жайлауда қалып қоямын	I stay in the summer pasture because of animals until the beginning of winter,
	малмен,	
	рахат.	(it is) enjoyable.
SPK1104	(МММ)	
SPK1111	(.) (Н)	
	Бір қой сойып аласың.	You slaughter a sheep.
	(.) (ЫЫ)	
	Біздің үй оның үстіне жайлау жақын	On top of that, the summer pasture is close to us,
	машинамен	you can get (there) in one and half hours with car.
SPK1104	Қай жайлау	Which summer pasture do you go?
SPK1111	бір жарым сағатта жетесің	
SPK1104	сіздерде?	
SPK1111	Шәші.	Shashy (the name of the pasture).
SPK1104	А, Шәші.	A, Shashy. (name of the pasture)
SPK1111	Сен барған.	which you went.
SPK1104	WHISPER Шәші,	Shashy,
	әйбат қой ол деген,	it is beautiful,
SPK1111	Иә,	Yes,
SPK1104	биік иә?	It is high, yes?
SPK1111	иә,	yes,
SPK1104	ол дегенің?	
SPK1111	(МХМ)	
	жолы :	the road is asphalt,
	май жол	
SPK1104	Иә,	Yes,
SPK1111	біздің үйдің жанына дейін май жол,	it is asphalt until our house,
	(.)	
	машина бірақ барады.	cars can get there.
	Келіп аласың дағы	You just come,
	бір толтырып алып кетіп қаласың машинаңды.	and fill up your car.
	(.) Н	
SPK1104	@@@	
SPK1111	Оның үстіне	On top of that,
	біздің жақта саяхат орын ғой,	there are resorts near us,
	бізден ары қарай ешқандай машина шығармайды дa	no car is allowed beyond us.
SPK1104	Сіздер саяхат	Do you have a resort?
	ашасыздар ма сонда?	
SPK1111	Жоқ,	No,
	WHISPER біз андай	we don't treat the guests.
	WHISPER кісі күтпейміз.	
SPK1104	Саяхаттар бірақ жақсы табады иә?	But the resorts earn good money.
SPK1111	WHISPER Жақсы табады	They earn a lot.
SPK1104	Киіз үйлері бір күнде :	The yurt is three or four hundred yuan a day.
	үш төрт жүз юань	
SPK1111	Иә,	Yes,
SPK1104	болып :.	
SPK1111	оған біз	but we do not want to serve others,
	ана біреуді бүйтіп	
	WHISPER Әәә деп	
	күткіміз келмейді,	
SPK1104	Иә,	Yes,
SPK1111	өзіміз бүйтіп	we all are this kind of (disobidient) person.
	бүйтіп қалған адамдармыз бәріміз.	
	(..) (Н)	
	Содан	So we do not to want to be watchful.
	біреудің қас қабағына қарағымыз келмейді,	
	асаумыз.	we are ill tempered.
	(ЫЫ)	Beyond us,
	Бізден ары қарай	
	ap ЫЫ	
	ана	that
	op--	
	бізге аз қалған жерде саяхат бар	there are resorts near us,
SPK1104	(МХМ)	
SPK1111	(.) (Н)	
	ол жерден	they blocked the road from there,
	жолды тосып тастаған,	
	ары десең ары одан ары қарай машина	beyond there, nothing including cars is not allowed to pass.
	ештеңе щығармайды	
SPK1104	Ол жақта не бар сонда?	So what do you have there?
SPK1111	Одан ары қарай малшылардыкі.	Beyond that, it is herdsmen's (area).
SPK1104	Еее,	It is their own territory.
SPK1111	Рахат,	(It is) enjoyable,
SPK1104	өздерінің жері деңіз.	
SPK1111	машина бармайды,	cars do not go,
	ұры бармайды,	thieves do not go,
	бірақ	but
SPK1104	Жете алмайды	You mean they cannot get there.
	дейсіз ғой @@	
SPK1111	бізді өткізіп жібереді ары қарай,	they let us pass from here,
	енді біз--	since we are -  -
	бізге tong xing zheng бітіріп береді дe	they make a pass for us,
	өткізіп жібереді,	let us pass,
	рахат.	(it is) enjoyable.
	(.) (Н)	
	(ЫЫЫ)	
	Бірақ саяхатшылар	But travellers also come to us,
	бізге де барып алады,	
	саяхат орында	in the resort,
	ting dan diao	they said it is monotonous,
	деп айтады	
SPK1104	Жиі:	They distribute densely.
	орналасқан.	
SPK1111	жиі:.	dense,
	мәнсіз,	boring
	кеп	"the people from mainland (of China) say, ""can we ride your horse, can we milk you cow?"""
	аттарыңа мінейікші :,	
	сиырларыңды сауып көрейікші:	
	дейді әлгі қытайларшы	
SPK1104	(МХМ)	
SPK1111	ішкерден келеді ғой.	
	Ақша-	Money--
SPK1104	Солар өмірдің нақ мәнін біледі иә	They know the real meaning of life, yes?
SPK1111	ақша алмаймыз десек	if we say we do not want money,
	тықпалап жүріп ақша тастап кетеді.	they leave money for us in a hidden way.
	(.) (H)	
	Содан	Then
	қазақ үй тігіп қоямыз,	we make a yurt,
	бір-	
	екеу.	two.
	Кейде	Sometimes
	кей жылы біреу тігеміз,	some years, we make one
	кейде екеу тігіп қоямыз,	sometimes we make two,
	бізге қонақ көп келеді.	we have a lot of guests.
	Содан	Then
	жайлауда болған соң	because we are in summer pasture,
	қымыз ішетін адам көп,	there are a lot of people drinking Kumis,
	бие байлаймыз.	we keep mares.
SPK1104	Онда мен Қытайға қайтқанда	Then when I come back to China, let me visit you in Shashy,
	Шә-	
	Шәшіге	
SPK1111	WHISPER бар бар бар	
SPK1104	сіздерге	
	іздеп барайын деп па @@@	
SPK1111	Бар,	Go,
SPK1104	бір жылы бір айтта әкем ертіп	My father took us all there one year at Eid.
	бәріміз бірге барған едік.	
