speaker	span	translation
SPK6001	Жазда қандай праздниктар бар?	What holidays do we have in summer?
SPK6002	Жазда,	Well, in summer, there are almost none.
	енді,	
	почти жоқ.	
	Июльдің бұрын,	At the beginning of July, in July, the fifth and sixth of July, the birthday of the first president is celebrated, now–
	июльдің,	
	бесі мен алтысында,	
	кімнің туған күні болатын,	
	бірінші Президенттің,	
	тойлайтын,	
	қазір–	
SPK6001	Он алтысы,	It's the 16th, isn't it?
	вроде да?	
SPK6002	Иә.	Yes.
	Кімнің,	Who else, ¬Gulmira, will turn sixty soon.
	¬Гүлмира,	
	алпысқа келеді екен.	
SPK6001	Қашан?	When?
SPK6002	Июльдің алтысы күні.	On the 6th of July. We will celebrate [her birthday] in Karaganda at the restaurant.
	Қарағандыда,	
	тойлаймыз,	
	ресторанда.	
SPK6001	Да?	Yeah?
SPK6002	Мхм.	Yep.
SPK6001	Маманды шақырған шығар да?	They'll probably invite my mother, too, right?
SPK6002	Шақырады бәрін.	They'll invite everyone.
	¬Заурені да,	And ¬Zaure, and everyone.
	бәріңді.	
	Барасың ба?	Will you go?
SPK6001	М?	What?
	¬Дана ана жолы,	Did ¬Dana go to Georgia that time?
	Грузияда болды ма?	
SPK6002	Грузияға барған жоқ әлі.	She hasn't been to Georgia yet.
SPK6001	¬Дана?	¬Dana?
SPK6002	¬Дана барған жоқ.	¬Dana didn't go.
SPK6001	¬Дана барып келді.	¬Dana has already gone there.
SPK6002	Қашан?	When?
SPK6001	Осы:	Well, a week has already passed.
	бір,	
	бір апта болған шығар.	
SPK6002	Ааа,	Oh, I didn't know.
	оны білмеймін.	
SPK6001	Неден,	Where, in Instagram–
	Инстаграм–	
SPK6002	Ол қазір жақсы,	She is doing well now, she is studying her thing and found a good job in Almaty, yeah, she also found a good job, in English, she is preparing, or something, for these I don't know, she is preparing.
	ана несін оқып жүр,	
	и,	
	жақсы жұмыс тауып алды,	
SPK6001	Алматыда жүр.	She is in Almaty now.
SPK6002	Алматыда,	
	жақсы жұмыс тауып алды еще,	
	ағылшыннан,	
	дайындай ма,	
	нелерге,	
	дайындайды.	
	Ана,	This one, the first job was hard, found a good one, now she works there, she likes Almaty, says she does not want to return.
	бірінші жұмыс ауыр болып жүрген,	
	жақсы тауып алды,	
	ана жұмыс істеп отыр,	
	Алматы ұнайды дейді,	
SPK6001	Кіммен тұрады?	With whom does she live?
SPK6002	кел–	
	келгісі келмейді.	
	Үш–	With three or four girls who went to study with her.
	төрт қыз ба өзі мына жақтан кеткен бірге барған бірге оқитындар.	
SPK6001	Аа.	Ah. With them, I think–
	А,	
	солармен бірге,	
SPK6002	Солармен бірге,	With them,
SPK6001	по-моему–	
	Жоқ,	
	солармен бірге неге барып келген сияқты.	No, we'll go with them to where–
SPK6002	Ааа.	Ah.
	Ммм.	Mmm.
SPK6001	¬Бибигүл,	Ask aunt ¬Bibigul.
	тәтеден,	
	@@	
	сұрайсыз.	
SPK6002	Сұраймын,	I'll ask, I didn't know, they didn't tell me.
	оны білген жоқпын,	
	айтқан да жоқ.	
	И өткен аптада осы онда:,	And last week we did not talk about it, there was no time.
	неде сөйлескен жоқпыз,	
	ой уақыт жоқ.	
	Алдында,	Before that, I went to the village.
	ауылға барып келдім мен.	
	Ол,	She is good, she found a good job.
	бәрі жұ–	
	жақсы жұмыс тауып алыпты.	
	Жоқ ана қыздарды білмеймін,	No, I don’t know about those girls, in any case, she is earning her own money.
	әйтеуір,	
	ээ,	
	кім өзінің-өзі,	
	ақшасын нетіп жатыр.	
	Алматыны жақсы көремін,	I love Almaty, she says.
	деп айтады дейді.	
	Жақсы көрсең сол жақта жұмыс тауып ал,	If you love [Almaty], find a job there, get a foothold, I'll sell the house and also move, I say.
	қал,	
	мына үйді сатып мен де барамын деп.	
	@@	
	¬Биби сөйдедім дейді.	Bibi said so [to her daughter].
	Жалғыз қызы ғой,	The only daughter, after all, where she is, there she is.
	қайда барам десе барады ғой соған.	
	Со:л.	That's it.
	Өздері,	I think these girls are the ones who studied with her, or—
	неде бірге оқыған қыздар ғой деймін,	
	или–	
SPK6001	Политехта?	At the Polytechnic [University]?
SPK6002	Иә.	Yeah.
SPK6001	Солай шығар енді.	Maybe so.
SPK6002	Төрт қыз бір жерде деді.	Four girls in one place she said.
	Хотя бы екеуі ма.	At least two, well.
	Со:л.	That's it.
	Сендер бірге бітіргендер мен осы жерде жұмыс істеп жүргендер бар ма?	Are there guys who graduated with you and are working here now?
	Турецкийді бірге бітіріп ана,	Those who graduate from the Turkic school or the Polytechnic University?
	Политехті бірге бітіргендер?	
SPK6001	Бар.	There are.
	Бірақ олар,	But they work online.
	былай не,	
