speaker	span	translation
SPK3012	Алматыға барамыз ба,	Are we going to Almaty or not?
	жоқ па.	
SPK3013	Жоқ барамыз.	No, we are going.
	Ертең,	Let me first get my that thing... My vacation pay should be transferred to me tomorrow.
	неменемді алайын.	
	Отпускнойым ертең түседі.	
	Бірсүгіні шықпаймын жұмысқа өзі.	I am not working the day after tomorrow.
	(H)	
SPK3012	Сен қандай күндері бар— м,	What days would want to go to Almaty? Till when is your leave?
	барғың келеді.	
	Сенің отпускің қашанға дейін.	
SPK3013	А.	Come again?
SPK3012	Отпускің,	Till when is your leave?
	қашанға дейі:н.	
SPK3013	Менің отпускім:,	My vacation...
	кароче,	let me think...
	отызы күні жұмысқа шығуым керек қой енді.	well I need to be back at work on the 30th.
SPK3012	М:.	Mm.
SPK3013	Жиырма алтысы,	I should be here by around 26th.
	сондайда,	
	осында болуым керек.	
	###,	
	наверное,	Probably..
	так (Hx)	alright...
	соны,	we should make up my mind about it now.
	қазір,	
	округлиться надо.	
	Если Алматыға барсақ,	If we go to Almaty...
	сразу бірінші Алматыға барып BEGINS_WASHING_DISHES	will we go to Alakol after first getting to Almaty? Is that how we want it to be?
	одан кейін,	
	Алакөлге барамыз ба?	
	Қалай.	
	Будем.	
	###.	
	Алматыға барсақ,	If we go to Almaty, then where will we go? I mean...
	қайда барамыз.	
	Имеется в виду.	
SPK3012	Қандай жерлерге,	Do you mean to which specfic places in Almaty?
	типа.	
SPK3013	Сен өзің айттың,	You said that yourself, so think now.
	ойлан енді.	
	Пойызға,	We could take a train to Turkistan.
	отырып,	
	Түркістанға сондай кетіп қалсақ деп.	
SPK3012	Түркістанға?	To Turkistan? From Almaty?
	Алматыдан.	
SPK3013	Иә.	Yes.
	Бірақ,	
	оған,	But it is too hot for that.
	немене ғой деймін,	
	ыстық қой деймін,	
	вообще.	
	Шымкент жақ еще.	Plus it is the area near Shymkent.
SPK3012	Скорее всего.	Most likely so.
	И плюс мне кажется,	Plus it seems to me that Ulan would not want to be there.
SPK3013	###.	
SPK3012	¬Ұлан осы,	
	жүрмейтін секілді.	
	Ну сен Алматыға барғың келсе,	Well if you want to go to Almaty...
	саған еще нужно этот,	you also need that...
	турға барғың келсе?	If you want to go on a tour...
	¬Ұлан мен,	I think Ulan, Ayan, and others will not go.
	¬Аяндар бармайтын шығар турға.	
SPK3013	###,	
	####?	
SPK3012	Если сенен,	If there is no one else with you [on the tour], I can go with you if you wish. It is not difficult for me.
	басқа,	
	ешкім жоқ болса,	
	мен сенімен қайтадан бара аламын.	
	Если хочешь.	
	Мне не сложно.	
	Просто сразу говорю,	Let me warn you in advance: you will not be available for the whole day.
	бір күн жоқ боласың.	
	Типа,	What I mean is that you go to the tour bus at six in the morning and it will have been ten thirty pm by the time you finish seeing and doing all things.
	таңғы сағат алтыда,	
	жиналасың автобусқа,	
	потом,	
	барып көріп түсіп біткенше,	
	сағат он жары:м,	
SPK3013	##### Алматыға барсам,	If I go to Almaty..
SPK3012	болады.	
SPK3013	##:,	
	Алматыға баратын болсам—	If I go to Almaty...
	Мынада,	
	кофе бар ма?	Is there coffee in it?
SPK3012	Кофе емес,	It is not coffee. It is just water inside it.
	ішінде су жай.	
	Немене ойланып тұрмын дейсің.	What were you saying you were thinking about?
SPK3013	Квартира снимать етпей,	What if we do not rent an appartment and just go to those people's place.
	кімдердікіне бара салсақ.	
SPK3012	Кімдердікі.	Who?
SPK3013	####.	At ####'s place?
SPK3012	А:.	Whaaat? All of us? All four of us?
	Бәріміз?	
	Төртеуіміз?	
SPK3013	Ешкім жоқ ###	There is no one ###
	##,	
	##.	
SPK3012	Кім бар.	Who is there?
SPK3013	Әйелі де бөлек,	His wife also lives seperately.
	¬Маржан,	There is only Marzhan, her husband, our brother-in-law, and then their girl who studies in grade 8-9.
	жолдасы,	
	жездеміз.	
	Одан кейін әгі,	
	сегіз оқитын,	
	тоғыз оқитын қыз,	
	әгі,	
	¬Саида күйеуға шығып кетті.	Saida already got married [and does not live with them].
	Или,	Or...
	квартира снимать етейік құрысын.	Let's just rent an appartment, screw it.
SPK3012	Ақшаңды жалко ма.	Do you just not want to spend your money on that?
	Понимаю.	I understand though.
	Ну можно.	Well we can.
	Но:,	But..
	менде мысалы университетегі,	For example there are friends of mine who I know from university who live in Almaty.
	танитын Алматыда балалар бар.	
	И мен солар—,	Just letting you know that I will be with them.
	солармен жүремін если что.	
	Әр күн емес,	Not each day...
	қызда:р,	Girls...
	ұлда:р.	Boys...
SPK3013	Біз болсақ бір,	If we go, we will go for around four days.
	төрт күн сондай боламыз.	
	Бір екі күн,	Say, if we take two days for ourselves...
	өзімізге арнасақ мысалы,	
SPK3012	Иә.	Yes.
SPK3013	бір күн мысалы,	Say one day we will ###
	####.	
	####,	
	бір күн екеуіміз шопиться етсек?	And say if you and I go for shopping for a whole day...
	Сол сен екі күн өзіңнің неменеңе,	And you take two days for that thing of yours...
	###.	
SPK3012	Ауылға кеткен соң не істейсіңдер,	What will you do after you leave for the village?
SPK3013	А.	Come again?
SPK3012	сендер екі күнде немене істейсіңдер ол кезде.	What will you do at that time?
	Сендер,	You and Ulan... have you been to Koktobe?
	¬Ұлан,	
	Көктөбеге барып па еді.	
	Шымбұлаққа барып па еді.	Did he go to Shymbulak?
SPK3013	Ой Шымбұлаққа барған жоқ.	Oh, no, he did not go to Shymbulak.
SPK3012	Анда отырып па еді,	Did he sit on that thing...
	ана нәрсеге,	on that thing...
	канатныйға.	on the cable car...
	Отырған.	He did, right?
SPK3013	Көктөбеден,	We took the cable car when we went back down from Koktobe.
	немене,	
	түскенде отырғанбыз.	
SPK3012	А:.	Oh I see.
SPK3013	Ой біз анандайға да отырғанбыз,	Oh we also took on the thing like that...
	Лесная сказка деген бар ғой.	you know the thing called Lesnya skazka.
SPK3012	Лесная сказка.	Lesnya Skazka.
SPK3013	Сондайда.	On something like that.
	Лесная Сказка,	It turns out that Lesnya Skazka is...
SPK3012	Ол,	It is...
	қазір,	wait a minute..
SPK3013	оказывается немене екен ғой.	
	Ой,	
	Қарағай деген,	Apparently Karagai is such an expensive place!!!
	керемет қымбат,	
	жер екен ғой.	
	##.	
SPK3012	######.	
	Бассейн бе,	Is that the place where you swam in the pool or something?
	бірдеңе түскен жерлерің бе.	
SPK3013	Жоқ ол,	No...
	бассейн ол,	the pool is...
	сен білмейсің бе не осы жолы,	Did you not know ... the other time we went to Tau Samaly... and then...
	Тау Самалы дегенге барамыз.	
SPK3012	Немене Тау Самалы деген.	What is Tau Samaly...
SPK3013	Кароче,	Basically  there are 7-8 pools outside, and 7-8 saunas...
	далада немене,	
	м:,	
	жеті сегіз бассейн,	
	жеті сегіз баня,	
	а:,	... and you can also eat there...
	там можно кушать,	
	в принципе сондайға,	Actually we could go to someplace like that... instead of going to the acquapark.
	соған барса болады,	
	аквапарктен гөрі.	
SPK3012	Жарайды.	Okay.
SPK3013	Ал,	But the place where we went to with Ular is...
	¬Ұлан екеуіміздің барғанымыз ол әгі,	
	семинар өтті ғой,	you know where the seminar was held...
	Ой-Қарағай деген,	the place called Oy-Karagai...
	ол қаланың шетінде.	it is on the outskirts of the city.
	Әгі мен айттым ғой кім,	Remember I told you... that person...
	¬Сымбат а:йқайлап,	...told you that Symbat was swearing and crying out loud...
	боқтады деп.	
	Оказывается,	It turns out that...
	#####.	
	Немене,	the thing is that...
	боязнь высоты.	...the fear of height...
SPK3012	А:.	Oh I see.
SPK3013	Но бірақ-та,	However...
SPK3012	Мхм.	Mhm.
SPK3013	но бірақ-та қызы үшін,	but for her daughter...
	типа енді,	well nobody wants their children to be [on the cable car] with strangers, right?
	әркім баласын,	
	біреумен жібермейді ғой?	
	Қызы анандай канатыныңға,	So because her daughter got on the cable car, she also decided she would do it.
	үлке:н дорогада отырғаны үшін,	
	мен енді отырғым келіп тұр,	
	отырды ғой.	
	Бә: анандай,	Omg, apparently the fear of height is really scary, right?
	боязнь деген,	
	страшный екен ғой иә.	
	Кәдімгідей талып қалды ғой.	She literally fainted.
	Қо:зғалмайды,	She could not move.
	әрең дауысы шығады.	Her voice barely came out.
SPK3012	Конечно.	Of course.
SPK3013	(H) ¬Анар ¬Алимбетова деген,	Anar Alimbetova immediately understood this.
	түсініп қойды.	
	А,	
	ана екеуі,	But the other two laughed so hard.
	қа:рқылдайды.	
SPK3012	Неге,	Whyt?
	неге байқұс кісіні,	Why the poor person...
	прям уже паническая атака,	It really is a panick attack...
	жүрегі ұстап қалуы мүмкін ғой.	She could gave gotten a heart attack.
	Неге оны,	Why...
SPK3013	Енді ол неге отырып алды.	Then why did she choose to ride the cable car?
SPK3012	түсіріп—	
	Неге енді күліп отырсыңдар ол кісіге.	Why are you laughing at that person?
	Жарайды отырсын,	Ok, so what if she choose to ride...
	айқайласын,	Let her cry...
	неге күлесіңдер енді.	Why do you laugh at her?
SPK3013	Үшеуіміз,	All three of us laughed so hard...
	қа:рқылдап,	
	күлдік қой.	
